wavelength,flux
3808.904,3.947
3809.781,2.29
3810.659,-2.331
3811.536,-2.45
3812.413,-1.419
3813.292,2.614
3814.169,0.196
3815.048,-3.224
3815.926,-0.891
3816.806,1.026
3817.684,0.789
3818.562,0.429
3819.443,-2.448
3820.322,1.199
3821.202,0.374
3822.082,0.859
3822.963,1.741
3823.842,-1.395
3824.724,2.902
3825.604,6.081
3826.484,2.433
3827.366,4.387
3828.247,-0.105
3829.13,-0.718
3830.01,0.311
3830.894,-0.063
3831.775,-1.147
3832.656,2.716
3833.54,3.75
3834.422,0.939
3835.306,1.694
3836.189,0.082
3837.073,-1.113
3837.956,-2.412
3838.839,2.328
3839.724,1.701
3840.608,-0.464
3841.493,0.664
3842.377,3.127
3843.263,3.516
3844.147,1.74
3845.031,0.783
3845.918,1.768
3846.803,3.057
3847.69,-0.479
3848.575,-0.229
3849.463,-0.033
3850.348,0.515
3851.234,2.31
3852.122,1.064
3853.008,0.05
3853.897,-2.354
3854.783,-0.602
3855.672,0.223
3856.559,1.787
3857.446,0.651
3858.336,0.191
3859.223,1.155
3860.114,1.01
3861.001,2.002
3861.892,0.138
3862.78,-0.187
3863.669,1.968
3864.56,0.636
3865.449,2.042
3866.34,1.878
3867.23,2.509
3868.121,3.291
3869.011,-2.074
3869.901,0.245
3870.794,0.445
3871.684,-0.185
3872.577,0.404
3873.468,-0.137
3874.361,1.871
3875.252,3.093
3876.144,0.577
3877.038,-1.759
3877.93,-1.206
3878.824,2.57
3879.716,-1.056
3880.611,1.141
3881.504,1.476
3882.396,1.024
3883.292,1.565
3884.185,2.397
3885.081,3.6
3885.975,2.812
3886.871,-2.418
3887.765,3.28
3888.659,1.057
3889.556,0.805
3890.451,0.295
3891.348,1.597
3892.243,2.327
3893.141,1.078
3894.036,2.087
3894.934,3.095
3895.83,-0.426
3896.726,3.887
3897.625,3.377
3898.521,0.153
3899.421,0.443
3900.318,0.706
3901.217,2.039
3902.115,5.499
3903.012,4.122
3903.912,-0.38
3904.81,2.499
3905.711,0.347
3906.609,0.53
3907.51,0.145
3908.409,0.917
3909.308,2.444
3910.21,1.996
3911.109,1.656
3912.011,3.595
3912.911,0.74
3913.813,0.771
3914.714,0.874
3915.614,1.532
3916.517,1.051
3917.418,2.401
3918.322,3.327
3919.223,2.242
3920.127,2.969
3921.029,3.826
3921.931,3.555
3922.835,1.86
3923.737,-1.845
3924.642,2.142
3925.545,2.838
3926.45,0.019
3927.354,-0.633
3928.257,0.213
3929.163,1.662
3930.067,3.431
3930.973,2.358
3931.877,1.153
3932.784,0.901
3933.689,0.544
3934.594,1.035
3935.501,0.484
3936.406,-1.08
3937.314,-0.217
3938.22,2.309
3939.128,3.061
3940.034,0.35
3940.941,-1.204
3941.849,0.545
3942.756,1.844
3943.665,2.695
3944.573,4.553
3945.482,4.378
3946.39,0.799
3947.298,1.963
3948.208,4.994
3949.116,4.638
3950.027,0.209
3950.936,0.256
3951.847,0.418
3952.756,-0.37
3953.665,-0.394
3954.577,0.118
3955.487,1.378
3956.399,2.223
3957.309,-0.772
3958.221,1.915
3959.132,0.416
3960.045,1.23
3960.956,2.393
3961.867,2.996
3962.781,2.763
3963.692,0.48
3964.606,-0.46
3965.519,0.224
3966.433,1.943
3967.345,1.301
3968.258,1.405
3969.173,0.002
3970.086,1.522
3971.002,2.581
3971.915,0.451
3972.831,1.119
3973.745,0.244
3974.659,-1.101
3975.576,2.134
3976.49,0.93
3977.407,2.975
3978.323,1.285
3979.24,0.595
3980.155,2.283
3981.071,1.396
3981.989,1.084
3982.905,2.899
3983.823,3.366
3984.74,2.118
3985.659,2.454
3986.576,2.803
3987.493,3.681
3988.412,2.022
3989.33,-1.079
3990.25,-0.739
3991.168,1.508
3992.088,1.687
3993.006,2.465
3993.925,2.161
3994.846,0.836
3995.765,1.361
3996.686,3.488
3997.606,2.361
3998.528,0.614
3999.448,2.611
4000.367,2.018
4001.29,-0.238
4002.21,1.126
4003.133,2.269
4004.054,2.075
4004.978,2.645
4005.899,3.242
4006.821,2.858
4007.745,0.827
4008.667,-1.004
4009.591,0.749
4010.513,0.689
4011.438,-0.226
4012.361,0.495
4013.284,0.072
4014.209,2.043
4015.133,0.832
4016.059,1.371
4016.983,3.448
4017.909,0.679
4018.833,-0.26
4019.758,2.511
4020.685,-0.338
4021.61,1.508
4022.537,1.74
4023.462,5.075
4024.39,3.797
4025.316,1.666
4026.242,2.211
4027.17,2.073
4028.097,2.69
4029.026,-0.069
4029.953,3.506
4030.882,1.847
4031.809,1.35
4032.739,0.84
4033.667,0.74
4034.595,0.975
4035.525,1.918
4036.453,3.176
4037.384,1.944
4038.313,2.797
4039.244,3.123
4040.174,1.902
4041.103,4.145
4042.035,3.405
4042.965,0.792
4043.897,0.673
4044.827,1.342
4045.76,1.406
4046.691,2.149
4047.622,-1.972
4048.555,2.208
4049.486,0.166
4050.42,-0.706
4051.352,2.415
4052.286,4.04
4053.219,2.633
4054.151,0.91
4055.086,1.259
4056.019,3.185
4056.954,2.647
4057.887,1.922
4058.823,2.208
4059.757,3.012
4060.691,3.473
4061.627,2.225
4062.561,2.122
4063.498,3.064
4064.433,2.503
4065.37,1.554
4066.305,1.071
4067.241,0.962
4068.179,2.711
4069.115,2.07
4070.053,1.054
4070.989,1.464
4071.928,0.102
4072.865,-0.782
4073.802,1.633
4074.741,3.512
4075.679,2.624
4076.618,0.984
4077.556,-0.544
4078.497,2.132
4079.435,0.897
4080.373,1.763
4081.314,1.312
4082.253,0.624
4083.194,2.605
4084.134,3.646
4085.076,2.909
4086.015,-0.078
4086.955,3.132
4087.898,3.244
4088.838,1.782
4089.781,0.677
4090.722,-0.902
4091.665,0.126
4092.606,1.769
4093.548,1.293
4094.492,2.002
4095.434,0.275
4096.378,4.016
4097.321,1.694
4098.266,1.422
4099.208,0.998
4100.151,-0.483
4101.097,1.472
4102.04,1.487
4102.986,-1.165
4103.93,1.77
4104.876,1.629
4105.821,1.557
4106.768,1.765
4107.712,3.388
4108.657,1.142
4109.604,1.079
4110.55,2.796
4111.498,3.352
4112.444,2.955
4113.392,2.568
4114.338,2.583
4115.285,4.056
4116.234,2.185
4117.181,1.972
4118.13,1.776
4119.078,2.058
4120.027,1.788
4120.975,2.702
4121.923,2.787
4122.874,1.235
4123.822,2.534
4124.773,-0.143
4125.722,-1.241
4126.673,3.351
4127.623,3.083
4128.572,3.028
4129.524,3.974
4130.475,1.656
4131.427,-0.195
4132.377,0.51
4133.33,0.793
4134.281,2.175
4135.232,-0.46
4136.186,2.378
4137.137,0.53
4138.091,1.987
4139.043,3.067
4139.998,2.083
4140.95,1.046
4141.903,1.07
4142.858,1.689
4143.811,2.37
4144.767,2.375
4145.72,1.548
4146.676,1.604
4147.63,1.273
4148.584,1.51
4149.541,0.383
4150.495,1.498
4151.453,2.526
4152.407,1.636
4153.365,1.632
4154.32,0.849
4155.276,0.307
4156.234,0.471
4157.19,0.069
4158.149,1.004
4159.105,1.654
4160.065,2.709
4161.022,2.099
4161.979,0.724
4162.939,0.553
4163.896,1.668
4164.856,4.635
4165.815,2.437
4166.775,1.446
4167.734,3.533
4168.693,1.744
4169.654,1.343
4170.613,0.662
4171.575,1.555
4172.535,1.95
4173.497,-0.505
4174.457,0.34
4175.417,2.92
4176.38,1.6
4177.341,2.631
4178.304,0.472
4179.265,3.211
4180.229,3.526
4181.191,2.234
4182.155,2.598
4183.117,1.928
4184.08,-0.057
4185.044,0.744
4186.007,0.075
4186.972,0.927
4187.936,0.236
4188.901,1.342
4189.865,0.706
4190.829,1.129
4191.795,3.117
4192.759,2.094
4193.726,0.362
4194.691,1.735
4195.658,0.427
4196.624,0.978
4197.589,2.434
4198.557,0.517
4199.523,1.738
4200.491,2.71
4201.458,1.61
4202.426,1.641
4203.393,1.267
4204.36,-0.039
4205.33,0.484
4206.297,1.275
4207.267,1.795
4208.235,1.878
4209.205,0.796
4210.174,-0.391
4211.142,0.051
4212.113,0.953
4213.082,2.337
4214.054,1.467
4215.023,0.848
4215.995,3.198
4216.965,2.554
4217.935,1.811
4218.908,1.819
4219.878,3.538
4220.852,-0.517
4221.822,1.395
4222.796,2.1
4223.768,3.618
4224.739,3.725
4225.713,1.558
4226.686,1.479
4227.66,1.078
4228.633,0.769
4229.608,0.854
4230.581,2.11
4231.554,0.084
4232.53,0.2
4233.503,1.639
