wavelength,flux
3795.77,31.837
3796.646,37.724
3797.519,43.609
3798.395,29.593
3799.269,28.356
3800.143,38.661
3801.019,47.813
3801.893,50.878
3802.77,54.784
3803.645,66.172
3804.522,61.747
3805.397,59.061
3806.273,68.084
3807.15,45.126
3808.026,44.382
3808.904,51.689
3809.781,49.591
3810.659,52.19
3811.536,53.531
3812.413,49.42
3813.292,49.339
3814.169,51.22
3815.048,42.375
3815.926,38.893
3816.806,38.78
3817.684,50.028
3818.562,55.78
3819.443,47.955
3820.322,36.007
3821.202,29.435
3822.082,31.692
3822.963,39.626
3823.842,42.699
3824.724,41.16
3825.604,34.116
3826.484,29.248
3827.366,23.567
3828.247,30.035
3829.13,31.68
3830.01,25.143
3830.894,32.148
3831.775,31.432
3832.656,30.672
3833.54,26.921
3834.422,27.04
3835.306,28.483
3836.189,36.259
3837.073,36.411
3837.956,28.977
3838.839,27.962
3839.724,21.023
3840.608,21.372
3841.493,35.525
3842.377,39.836
3843.263,47.115
3844.147,51.817
3845.031,53.173
3845.918,52.772
3846.803,49.049
3847.69,46.796
3848.575,53.646
3849.463,46.839
3850.348,49.858
3851.234,55.246
3852.122,47.202
3853.008,52.2
3853.897,60.301
3854.783,58.174
3855.672,58.964
3856.559,45.005
3857.446,45.043
3858.336,40.557
3859.223,45.087
3860.114,34.642
3861.001,27.979
3861.892,33.893
3862.78,46.398
3863.669,58.323
3864.56,52.753
3865.449,48.571
3866.34,44.747
3867.23,49.055
3868.121,61.319
3869.011,61.042
3869.901,54.435
3870.794,53.012
3871.684,52.442
3872.577,47.178
3873.468,44.173
3874.361,44.485
3875.252,52.967
3876.144,53.766
3877.038,50.82
3877.93,44.246
3878.824,38.228
3879.716,40.32
3880.611,50.481
3881.504,59.569
3882.396,50.048
3883.292,51.277
3884.185,52.698
3885.081,50.398
3885.975,44.097
3886.871,37.227
3887.765,33.357
3888.659,32.661
3889.556,33.621
3890.451,37.653
3891.348,45.982
3892.243,47.515
3893.141,51.391
3894.036,45.903
3894.934,42.512
3895.83,45.51
3896.726,42.316
3897.625,39.853
3898.521,53.373
3899.421,49.174
3900.318,43.787
3901.217,43.831
3902.115,45.432
3903.012,40.109
3903.912,40.859
3904.81,48.309
3905.711,44.513
3906.609,37.017
3907.51,40.767
3908.409,44.623
3909.308,48.203
3910.21,45.434
3911.109,46.84
3912.011,53.705
3912.911,56.515
3913.813,53.619
3914.714,50.245
3915.614,42.793
3916.517,51.52
3917.418,47.242
3918.322,48.172
3919.223,45.568
3920.127,44.312
3921.029,42.854
3921.931,37.991
3922.835,37.502
3923.737,40.832
3924.642,45.192
3925.545,42.995
3926.45,40.739
3927.354,38.244
3928.257,31.918
3929.163,24.324
3930.067,20.198
3930.973,18.965
3931.877,15.516
3932.784,10.771
3933.689,12.324
3934.594,10.444
3935.501,10.213
3936.406,13.769
3937.314,17.652
3938.22,22.294
3939.128,28.435
3940.034,33.3
3940.941,34.489
3941.849,32.181
3942.756,37.351
3943.665,38.042
3944.573,34.224
3945.482,32.192
3946.39,41.849
3947.298,48.748
3948.208,45.738
3949.116,49.028
3950.027,47.822
3950.936,49.883
3951.847,51.563
3952.756,43.811
3953.665,51.061
3954.577,49.154
3955.487,46.241
3956.399,49.625
3957.309,46.413
3958.221,44.598
3959.132,44.006
3960.045,48.4
3960.956,41.331
3961.867,32.588
3962.781,29.735
3963.692,32.194
3964.606,34.605
3965.519,30.761
3966.433,21.327
3967.345,15.697
3968.258,13.356
3969.173,11.063
3970.086,11.458
3971.002,15.476
3971.915,22.447
3972.831,26.621
3973.745,26.768
3974.659,29.634
3975.576,38.931
3976.49,45.279
3977.407,42.047
3978.323,55.494
3979.24,51.357
3980.155,55.272
3981.071,60.069
3981.989,57.883
3982.905,52.786
3983.823,48.02
3984.74,49.36
3985.659,53.902
3986.576,54.825
3987.493,53.295
3988.412,55.899
3989.33,63.478
3990.25,56.756
3991.168,50.187
3992.088,56.613
3993.006,55.507
3993.925,56.553
3994.846,53.632
3995.765,54.885
3996.686,55.91
3997.606,57.357
3998.528,58.844
3999.448,58.691
4000.367,56.667
4001.29,55.135
4002.21,55.996
4003.133,58.243
4004.054,62.898
4004.978,59.196
4005.899,49.034
4006.821,53.881
4007.745,56.586
4008.667,58.784
4009.591,60.514
4010.513,56.313
4011.438,58.43
4012.361,57.432
4013.284,60.151
4014.209,61.836
4015.133,59.366
4016.059,57.605
4016.983,57.254
4017.909,58.098
4018.833,57.769
4019.758,55.013
4020.685,55.901
4021.61,60.047
4022.537,63.692
4023.462,63.697
4024.39,64.582
4025.316,59.877
4026.242,56.63
4027.17,59.269
4028.097,62.687
4029.026,62.228
4029.953,60.192
4030.882,59.448
4031.809,48.28
4032.739,54.446
4033.667,55.109
4034.595,55.062
4035.525,56.999
4036.453,54.236
4037.384,53.893
4038.313,62.291
4039.244,61.002
4040.174,58.882
4041.103,59.833
4042.035,59.199
4042.965,61.054
4043.897,65.211
4044.827,58.853
4045.76,45.412
4046.691,41.239
4047.622,47.811
4048.555,55.82
4049.486,57.089
4050.42,54.534
4051.352,58.562
4052.286,60.242
4053.219,55.62
4054.151,58.292
4055.086,60.21
4056.019,54.581
4056.954,57.164
4057.887,56.756
4058.823,54.637
4059.757,58.547
4060.691,57.761
4061.627,63.407
4062.561,57.606
4063.498,45.713
4064.433,43.365
4065.37,49.05
4066.305,52.942
4067.241,55.748
4068.179,54.736
4069.115,60.369
4070.053,65.449
4070.989,59.473
4071.928,51.539
4072.865,47.102
4073.802,51.579
4074.741,60.577
4075.679,61.708
4076.618,60.125
4077.556,52.573
4078.497,50.458
4079.435,52.73
4080.373,56.018
4081.314,57.604
4082.253,60.545
4083.194,60.463
4084.134,58.091
4085.076,59.508
4086.015,57.31
4086.955,55.36
4087.898,57.745
4088.838,61.348
4089.781,63.759
4090.722,63.144
4091.665,60.178
4092.606,60.959
4093.548,64.549
4094.492,65.241
4095.434,63.746
4096.378,57.592
4097.321,58.149
4098.266,53.665
4099.208,59.017
4100.151,59.356
4101.097,50.492
4102.04,43.401
4102.986,44.13
4103.93,46.159
4104.876,49.118
4105.821,64.386
4106.768,57.584
4107.712,55.397
4108.657,57.516
4109.604,57.55
4110.55,58.329
4111.498,56.464
4112.444,56.887
4113.392,60.963
4114.338,60.199
4115.285,64.023
4116.234,63.642
4117.181,63.825
4118.13,60.231
4119.078,63.508
4120.027,58.94
4120.975,58.343
4121.923,60.3
4122.874,57.248
4123.822,58.998
4124.773,62.428
4125.722,60.85
4126.673,65.683
4127.623,55.952
4128.572,52.251
4129.524,62.99
4130.475,66.754
4131.427,60.371
4132.377,53.74
4133.33,51.103
4134.281,51.469
4135.232,50.307
4136.186,56.509
4137.137,60.385
4138.091,58.312
4139.043,62.287
4139.998,61.139
4140.95,61.503
4141.903,62.886
4142.858,56.877
4143.811,49.783
4144.767,47.463
4145.72,52.825
4146.676,56.615
4147.63,60.134
4148.584,61.495
4149.541,59.024
4150.495,59.889
4151.453,59.91
4152.407,57.674
4153.365,59.149
4154.32,58.823
4155.276,53.28
4156.234,54.68
4157.19,57.011
4158.149,62.902
4159.105,58.817
4160.065,54.815
4161.022,57.275
4161.979,60.696
4162.939,60.769
4163.896,60.239
4164.856,62.472
4165.815,65.966
4166.775,59.16
4167.734,51.36
4168.693,58.162
4169.654,63.706
4170.613,60.138
4171.575,56.926
4172.535,54.015
4173.497,49.273
4174.457,53.788
4175.417,55.952
4176.38,53.464
4177.341,59.193
4178.304,60.154
4179.265,56.631
4180.229,63.895
4181.191,65.459
4182.155,60.359
4183.117,59.299
4184.08,58.71
4185.044,59.082
4186.007,57.074
4186.972,56.303
4187.936,50.619
4188.901,49.707
4189.865,52.95
4190.829,58.169
4191.795,58.47
4192.759,56.778
4193.726,58.338
4194.691,59.559
4195.658,59.941
4196.624,52.503
4197.589,57.613
4198.557,54.428
4199.523,47.788
4200.491,48.543
4201.458,51.717
4202.426,50.887
4203.393,49.152
4204.36,52.908
4205.33,59.23
4206.297,59.965
4207.267,59.946
4208.235,59
4209.205,61.721
4210.174,57.492
4211.142,57.327
4212.113,58.258
4213.082,56.365
4214.054,53.6
4215.023,53.641
4215.995,57.995
4216.965,58.85
4217.935,60.179
4218.908,59.752
4219.878,60.726
4220.852,62.546
4221.822,61.627
4222.796,57.94
4223.768,56.163
4224.739,53.563
4225.713,47.369
4226.686,41.411
4227.66,29.027
4228.633,33.153
4229.608,50.434
4230.581,51.84
4231.554,54.977
4232.53,59.782
4233.503,56.917
4234.48,55.284
4235.454,56.7
4236.431,51.874
4237.405,49.491
4238.38,55.756
4239.357,52.982
4240.333,55.088
4241.311,59.382
4242.286,59.936
4243.264,59.109
4244.241,55.989
4245.217,56.141
4246.196,61.011
4247.173,60.388
4248.152,54.175
4249.129,55.025
4250.109,49.373
4251.087,47.039
4252.065,49.831
4253.045,54.271
4254.024,53.358
4255.005,52.28
4255.983,50.822
4256.965,54.37
4257.944,59.892
4258.926,55.15
4259.906,54.234
4260.886,48.016
4261.869,49.09
4262.849,52.911
4263.832,61.508
4264.813,62.131
4265.796,57.974
4266.778,58.292
4267.759,58.823
4268.743,55.701
4269.726,56.028
4270.71,57.889
4271.692,50.129
4272.677,38.654
4273.661,46.796
4274.644,47.314
4275.629,50.398
4276.613,50.09
4277.599,54.097
4278.583,61.778
4279.57,60.796
4280.554,51.714
4281.539,48.546
4282.526,52.077
4283.512,56.462
4284.499,59.458
4285.485,53.995
4286.473,50.053
4287.459,51.378
4288.445,55.743
4289.435,51.415
4290.421,43.937
4291.411,45.492
4292.398,48.857
4293.388,51.087
4294.375,53.644
4295.363,48.84
4296.354,47.909
4297.342,50.873
4298.333,48.91
4299.322,42.149
4300.313,38.179
4301.303,39.165
4302.292,40.086
4303.284,39.5
4304.274,41.381
4305.267,42.197
4306.257,43.172
4307.25,39.045
4308.241,37.118
4309.232,32.326
4310.226,35.327
4311.217,37.848
4312.211,38.142
4313.204,40.158
4314.198,43.835
4315.19,48.889
4316.184,55.285
4317.179,58.871
4318.172,61.421
4319.167,59.602
4320.161,60.856
4321.157,63.592
4322.151,61.292
4323.146,56.748
4324.143,50.633
4325.138,44.227
4326.135,42.501
4327.13,46.353
4328.128,51.843
4329.124,53.924
4330.12,59.609
4331.118,57.283
4332.114,61.385
4333.113,59.771
4334.11,60.66
4335.11,62.896
4336.107,60.901
4337.107,56.823
4338.104,53.904
4339.103,52.181
4340.103,49.807
4341.102,39.958
4342.103,42.202
4343.102,52.285
4344.103,56.46
4345.103,60.384
4346.102,61.599
4347.104,56.624
4348.104,59.772
4349.107,64.143
4350.107,59.647
4351.11,60.916
4352.111,57.135
4353.113,51.881
4354.117,52.258
4355.118,58.379
4356.123,55.607
4357.125,57.209
4358.129,60.366
4359.132,62.235
4360.135,59.758
4361.14,55.336
4362.144,55.55
4363.149,58.86
4364.153,59.944
4365.159,59.665
4366.164,63.528
4367.168,61.839
4368.175,57.548
4369.18,58.469
4370.188,60.817
4371.193,58.135
4372.201,57.316
4373.207,58.623
4374.213,56.609
4375.221,54.11
4376.228,53.732
4377.237,57.109
4378.244,59.65
4379.253,60.34
4380.261,57.019
4381.269,62.182
4382.279,58.152
4383.287,47.148
4384.298,40.605
4385.307,40.746
4386.318,47.078
4387.327,55.786
4388.336,57.701
4389.348,57.701
4390.358,56.855
4391.37,53.003
4392.38,59.721
4393.394,58.122
4394.404,59.029
4395.415,55.386
4396.429,55.806
4397.44,59.161
4398.454,58.471
4399.466,58.654
4400.48,59.71
4401.493,56.159
4402.505,60.665
4403.521,62.866
4404.534,54.282
4405.549,47.525
4406.562,49.124
4407.579,55.003
4408.593,57.514
4409.607,56.584
4410.624,58.998
4411.639,61.892
4412.656,61.264
4413.671,63.981
4414.688,61.409
4415.704,54.921
4416.723,52.494
4417.739,55.568
4418.755,59.716
4419.774,68.557
4420.791,66.469
4421.81,64.545
4422.827,65.16
4423.847,62.925
4424.865,61.441
4425.883,62.98
4426.903,62.017
4427.922,57.542
4428.943,56.819
4429.962,58.956
4430.983,60.856
4432.002,58.9
4433.022,63.44
4434.044,64.392
4435.064,57.516
4436.087,54.708
4437.108,57.292
4438.131,60.228
4439.152,63.596
4440.173,63.49
4441.197,61.791
4442.219,58.196
4443.243,57.016
4444.265,53.251
4445.29,60.282
4446.312,64.905
4447.335,63.133
4448.361,59.588
4449.384,58.988
4450.411,60.361
4451.434,60.896
4452.461,62.505
4453.485,63.28
4454.51,57.218
4455.537,57.979
4456.562,53.323
4457.589,54.512
4458.615,60.978
4459.643,60.562
4460.669,60.598
4461.695,56.56
4462.724,58.298
4463.75,60.516
4464.78,60.378
4465.807,61.868
4466.837,57.942
4467.864,64.197
4468.892,58.565
4469.923,59.498
4470.951,60.238
4471.982,62.484
4473.011,60.09
4474.042,64.391
4475.072,66.553
4476.101,63.001
4477.133,63.52
4478.163,64.468
4479.196,62.052
4480.227,63.372
4481.259,61.633
4482.291,55.838
4483.321,58.172
4484.355,58.219
4485.387,65.202
4486.421,62.189
4487.454,67.542
4488.488,66.665
4489.521,64.194
4490.554,61.966
4491.589,60.921
4492.623,60.391
4493.658,59.708
4494.692,61.458
4495.729,58.906
4496.763,61.864
4497.8,63.278
4498.834,64.601
