wavelength,flux
4125.722,5.376
4126.673,3.922
4127.623,4.527
4128.572,5.334
4129.524,3.71
4130.475,4.893
4131.427,0.488
4132.377,5.302
4133.33,4.407
4134.281,3.19
4135.232,2.591
4136.186,4.457
4137.137,3.78
4138.091,2.316
4139.043,4.896
4139.998,6.81
4140.95,4.077
4141.903,3.643
4142.858,4.064
4143.811,5.611
4144.767,3.005
4145.72,2.431
4146.676,1.98
4147.63,3.741
4148.584,6.29
4149.541,4.603
4150.495,2.892
4151.453,3.254
4152.407,0.769
4153.365,2.323
4154.32,3.227
4155.276,5.318
4156.234,5.147
4157.19,5.897
4158.149,6.554
4159.105,5.907
4160.065,5.443
4161.022,3.668
4161.979,2.242
4162.939,3.454
4163.896,4.049
4164.856,2.188
4165.815,2.134
4166.775,2.69
4167.734,4.559
4168.693,3.051
4169.654,0.342
4170.613,2.426
4171.575,3.689
4172.535,4.145
4173.497,0.239
4174.457,2.507
4175.417,1.838
4176.38,2.517
4177.341,4.025
4178.304,3.93
4179.265,3.025
4180.229,3.478
4181.191,4.446
4182.155,3.264
4183.117,2.04
4184.08,4.393
4185.044,4.577
4186.007,2.079
4186.972,4.207
4187.936,5.006
4188.901,5.138
4189.865,4.652
4190.829,4.397
4191.795,5.527
4192.759,3.636
4193.726,6.715
4194.691,5.428
4195.658,3.379
4196.624,2.775
4197.589,2.39
4198.557,3.461
4199.523,2.986
4200.491,4.815
4201.458,7.156
4202.426,4.238
4203.393,3.117
4204.36,1.974
4205.33,5.309
4206.297,3.504
4207.267,3.306
4208.235,4.531
4209.205,3.823
4210.174,1.711
4211.142,2.416
4212.113,4.174
4213.082,4.27
4214.054,6.075
4215.023,3.79
4215.995,3.058
4216.965,8.921
4217.935,5.103
4218.908,4.9
4219.878,4.406
4220.852,6.431
4221.822,6.649
4222.796,4.599
4223.768,5.212
4224.739,4.762
4225.713,2.832
4226.686,3.628
4227.66,4.561
4228.633,2.865
4229.608,1.974
4230.581,3.304
4231.554,6.051
4232.53,5.538
4233.503,3.43
4234.48,3.554
4235.454,3.638
4236.431,2.222
4237.405,1.772
4238.38,3.115
4239.357,5.917
4240.333,3.218
4241.311,3.422
4242.286,5.875
4243.264,4.163
4244.241,3.368
4245.217,5.021
4246.196,4.323
4247.173,5.186
4248.152,4.56
4249.129,6.007
4250.109,3.536
4251.087,3.872
4252.065,4.371
4253.045,3.736
4254.024,5.428
4255.005,4.628
4255.983,3.162
4256.965,3.02
4257.944,0.497
4258.926,3.963
4259.906,5.843
4260.886,3.518
4261.869,4.617
4262.849,3.09
4263.832,2.296
4264.813,3.034
4265.796,3.854
4266.778,4.413
4267.759,4.9
4268.743,3.671
4269.726,1.432
4270.71,4.309
4271.692,4.943
4272.677,3.136
4273.661,4.366
4274.644,3.604
4275.629,0.309
4276.613,1.657
4277.599,2.874
4278.583,1.254
4279.57,2.137
4280.554,4.674
4281.539,2.933
4282.526,2.06
4283.512,4.223
4284.499,3.923
4285.485,2.868
4286.473,4.534
4287.459,4.005
4288.445,4.011
4289.435,4.178
4290.421,5.148
4291.411,5.723
4292.398,3.895
4293.388,5.662
4294.375,4.547
4295.363,4.513
4296.354,3.711
4297.342,6.41
4298.333,4.661
4299.322,4.72
4300.313,3.321
4301.303,2.444
4302.292,3.362
4303.284,2.401
4304.274,2.001
4305.267,3.963
4306.257,4.05
4307.25,5.752
4308.241,4.815
4309.232,5.164
4310.226,4.855
4311.217,4.83
4312.211,4.879
4313.204,4.223
4314.198,4.049
4315.19,4.102
4316.184,3.811
4317.179,5.913
4318.172,5.325
4319.167,1.961
4320.161,4.693
4321.157,5.123
4322.151,4.008
4323.146,4.481
4324.143,4.705
4325.138,4.539
4326.135,4.723
4327.13,5.427
4328.128,5.464
4329.124,3.34
4330.12,4.36
4331.118,3.941
4332.114,2.849
4333.113,2.273
4334.11,4.431
4335.11,3.686
4336.107,3.216
4337.107,4.322
4338.104,4.879
4339.103,3.991
4340.103,3.344
4341.102,3.532
4342.103,2.395
4343.102,6.606
4344.103,4.746
4345.103,4.33
4346.102,3.183
4347.104,4.064
4348.104,5.6
4349.107,3.808
4350.107,5.826
4351.11,8.235
4352.111,4.734
4353.113,4.798
4354.117,5.653
4355.118,4.366
4356.123,5.849
4357.125,3.61
4358.129,4.896
4359.132,5.477
