wavelength,flux
3569.438,-14.853
3570.262,-7.117
3571.083,0.623
3571.906,-3.578
3572.728,5.595
3573.552,-6.383
3574.374,0.456
3575.196,-9.487
3576.021,-1.179
3576.844,-1.494
3577.668,-6.19
3578.491,5.327
3579.317,2.69
3580.14,-2.465
3580.964,-1.483
3581.789,-1.167
3582.613,-2.098
3583.439,1.991
3584.264,8.705
3585.09,1.887
3585.915,-3.154
3586.74,-2.295
3587.567,2.615
3588.392,4.738
3589.22,-5.169
3590.046,-5.674
3590.874,-3.142
3591.699,-1.695
3592.526,0.664
3593.354,2.91
3594.181,-3.075
3595.01,-1.521
3595.837,0.963
3596.666,0.754
3597.493,-0.473
3598.321,0.311
3599.151,2.405
3599.979,-0.296
3600.809,-1.813
3601.637,-1.24
3602.468,-0.119
3603.296,0.032
3604.125,-0.962
3604.957,1.989
3605.786,3.122
3606.617,0.724
3607.447,-0.215
3608.279,2.539
3609.109,0.685
3609.939,2.737
3610.772,-1.212
3611.602,-1.709
3612.435,-1.075
3613.266,-4.853
3614.099,2.264
3614.931,-3.041
3615.762,-4.974
3616.596,0.689
3617.428,4.177
3618.262,-1.466
3619.095,-4.53
3619.929,-2.126
3620.762,-0.496
3621.597,-2.117
3622.43,-2.958
3623.263,-0.153
3624.099,-0.362
3624.933,-0.744
3625.769,4.561
3626.603,3.638
3627.439,0.124
3628.273,3.611
3629.108,-0.21
3629.945,0.433
3630.78,1.362
3631.617,2.469
3632.453,4.334
3633.29,5.764
3634.126,5.604
3634.962,3.509
3635.801,-6.196
3636.637,-4.923
3637.476,2.272
3638.312,-1.252
3639.151,2.134
3639.989,3.391
3640.826,1.625
3641.665,-1.739
3642.503,-4.039
3643.343,-1.925
3644.181,4.361
3645.021,1.932
3645.86,-2.414
3646.699,1.635
3647.54,6.167
3648.379,0.185
3649.22,-0.133
3650.06,3.163
3650.901,2.78
3651.741,2.061
3652.581,-0.048
3653.424,-3.473
3654.264,3.944
3655.107,-3.151
3655.948,0.488
3656.791,2.727
3657.632,-2.47
3658.473,-2.678
3659.317,2.903
3660.159,-1.779
3661.003,1.844
3661.845,1.254
3662.689,-1.094
3663.532,5.025
3664.375,-3.304
3665.22,3.122
3666.063,1.275
3666.908,-0.323
3667.752,1.195
3668.598,-1.953
3669.442,0.274
3670.286,-1.388
3671.132,2.296
3671.977,3.214
3672.823,-0.711
3673.668,-2.136
3674.516,-1.908
3675.361,1.484
3676.206,1.462
3677.054,1.21
3677.9,1.049
3678.748,-0.753
3679.594,2.431
3680.443,2.954
3681.29,0.667
3682.136,2.152
3682.986,3.35
3683.833,-1.676
3684.682,0.657
3685.53,0.552
3686.38,-0.119
3687.228,-1.611
3688.078,-0.882
3688.927,2.859
3689.775,-1.505
3690.626,0.465
3691.475,0.274
3692.326,1.463
3693.176,3.787
3694.027,1.744
3694.877,0.098
3695.727,-3.066
3696.579,-2.09
3697.43,1.6
3698.282,2.003
3699.133,-1.715
3699.986,1.109
3700.837,0.815
3701.689,-2.112
3702.542,-0.043
3703.394,2.958
3704.248,-0.836
3705.1,1.099
3705.955,0.827
3706.807,0.278
3707.66,-1.157
3708.515,-1.672
3709.368,0.677
3710.223,-0.135
3711.077,1.207
3711.933,2.506
3712.787,1.683
3713.641,-0.09
3714.497,-0.209
3715.352,0.758
3716.208,0.811
3717.063,-0.498
3717.92,-0.376
3718.776,0.995
3719.631,1.021
3720.489,1.115
3721.345,0.451
3722.203,0.258
3723.059,0.405
3723.918,0.819
3724.775,1.67
3725.632,1.899
3726.49,1.534
3727.348,-0.098
3728.207,-0.072
3729.065,0.518
3729.925,-1.071
3730.783,0.692
3731.641,1.081
3732.502,0
3733.36,-0.394
3734.221,-0.203
3735.08,-0.669
3735.942,0.232
3736.801,-0.987
3737.661,-2.511
3738.523,-0.779
3739.383,1.907
3740.245,1.505
3741.105,3.437
3741.968,0.736
3742.829,0.61
3743.69,0.309
3744.553,-0.408
3745.415,2.4
3746.279,2.635
3747.14,-1.249
3748.004,0.163
3748.867,0.266
3749.729,-2.348
3750.594,-0.381
3751.457,1.53
3752.322,2.183
3753.185,3.163
3754.05,1.934
3754.914,-0.052
3755.78,0.822
3756.644,-0.942
3757.508,-0.825
3758.375,0.298
3759.239,0.544
3760.106,0.608
3760.971,1.668
3761.838,0.573
3762.704,1.359
3763.569,1.159
3764.437,0.031
3765.303,-0.101
3766.171,1.012
3767.038,0.264
3767.906,0.136
3768.773,0.566
3769.64,0.837
3770.51,0.661
3771.377,0.775
3772.247,2.19
3773.115,0.052
3773.984,0.072
3774.853,1.68
3775.721,1.751
3776.592,0.052
3777.46,0.163
3778.332,2.069
3779.201,0.537
3780.072,0.077
3780.942,1.702
3781.812,0.554
3782.684,0.096
3783.554,0.812
3784.427,0.581
3785.297,-0.401
3786.17,-0.9
3787.041,-0.436
3787.912,0.081
3788.786,0.445
3789.657,0.965
3790.531,0.203
3791.403,-0.344
3792.277,0.983
3793.15,-2.206
3794.022,0.884
3794.897,1.64
3795.77,1.638
3796.646,2.509
3797.519,1.402
3798.395,1.886
3799.269,-0.063
3800.143,-0.091
3801.019,0.289
3801.893,-0.181
3802.77,0.394
3803.645,0.729
3804.522,-0.198
3805.397,-0.803
3806.273,0.133
3807.15,0.709
3808.026,-0.94
3808.904,0.49
3809.781,0.923
3810.659,0.622
3811.536,0.027
3812.413,-0.582
3813.292,-0.585
3814.169,0.308
3815.048,0.151
3815.926,-0.36
3816.806,-0.061
3817.684,0.365
3818.562,-0.377
3819.443,-0.028
3820.322,0.381
3821.202,0.203
3822.082,-0.555
3822.963,-0.019
3823.842,2.68
3824.724,1.604
3825.604,0.261
3826.484,-0.591
3827.366,0.139
3828.247,0.919
3829.13,-0.85
3830.01,-0.885
3830.894,0.047
3831.775,0.353
3832.656,0.993
3833.54,1.114
3834.422,-0.523
3835.306,1.975
3836.189,1.051
3837.073,0.375
3837.956,-0.06
3838.839,-0.986
3839.724,-1.096
3840.608,-0.949
3841.493,0.813
3842.377,0.382
3843.263,-0.407
3844.147,0.467
3845.031,1.415
3845.918,1.631
3846.803,3.312
3847.69,1.648
3848.575,-0.25
3849.463,0.247
3850.348,0.259
3851.234,-0.673
3852.122,-0.768
3853.008,0.066
3853.897,1.086
3854.783,0.662
3855.672,-1.29
3856.559,0.43
3857.446,-0.165
3858.336,-0.29
3859.223,0.127
3860.114,0.187
3861.001,0.301
3861.892,-0.186
3862.78,0.273
3863.669,0.822
3864.56,-0.022
3865.449,-0.653
3866.34,1.265
3867.23,0.217
3868.121,0.522
3869.011,-0.304
3869.901,0.15
3870.794,1.237
3871.684,-1.003
3872.577,1.104
3873.468,-0.769
3874.361,0.752
3875.252,1.478
3876.144,-0.803
3877.038,0.06
3877.93,-0.411
3878.824,1.19
3879.716,1.477
3880.611,0.395
3881.504,0.024
3882.396,0.939
3883.292,1.042
3884.185,0.776
3885.081,0.394
3885.975,0.192
3886.871,-0.068
3887.765,-0.502
3888.659,0.778
3889.556,0.962
3890.451,0.012
3891.348,-0.466
3892.243,-0.26
3893.141,-0.5
3894.036,0.441
3894.934,1.302
3895.83,0.682
3896.726,-0.048
3897.625,0.25
3898.521,0.671
3899.421,0.582
3900.318,-0.381
3901.217,-0.008
3902.115,0.237
3903.012,-0.274
3903.912,0.239
3904.81,-0.516
3905.711,1.108
3906.609,-0.121
3907.51,-0.152
3908.409,1.786
3909.308,-0.681
3910.21,0.653
3911.109,0.905
3912.011,0.325
3912.911,-0.416
3913.813,-0.38
3914.714,0.855
3915.614,-0.433
3916.517,-0.271
3917.418,0.547
3918.322,0.97
3919.223,0.817
3920.127,0.268
3921.029,-0.422
3921.931,0.113
3922.835,0.437
3923.737,0.306
3924.642,0.468
3925.545,1.117
3926.45,0.942
3927.354,0.34
3928.257,0.85
3929.163,1.119
3930.067,0.315
3930.973,0.335
3931.877,1.581
3932.784,0.936
3933.689,0.884
3934.594,0.772
3935.501,0.055
3936.406,0.639
3937.314,0.82
3938.22,-0.374
3939.128,0.2
3940.034,0.687
3940.941,0.15
3941.849,1.217
3942.756,0.091
3943.665,-0.571
3944.573,0.324
3945.482,0.99
3946.39,0.394
3947.298,-0.085
3948.208,-0.32
3949.116,0.373
3950.027,0.296
3950.936,0.561
3951.847,1.438
3952.756,0.729
3953.665,0.487
3954.577,0.248
3955.487,0.2
3956.399,-0.085
3957.309,-0.269
3958.221,0.777
3959.132,1.186
3960.045,0.546
3960.956,-0.398
3961.867,-0.265
3962.781,1.047
3963.692,1.549
3964.606,-0.011
3965.519,-1.244
3966.433,-0.374
3967.345,0.783
3968.258,0.701
3969.173,0.861
3970.086,1.868
3971.002,0.759
