wavelength,flux
3798.395,39.936
3799.269,37.201
3800.143,35.861
3801.019,45.842
3801.893,36.945
3802.77,37.714
3803.645,35.615
3804.522,35.214
3805.397,27.787
3806.273,21.437
3807.15,27.446
3808.026,24.732
3808.904,23.284
3809.781,26.296
3810.659,23.096
3811.536,26.059
3812.413,32.504
3813.292,34.724
3814.169,37.263
3815.048,41.075
3815.926,37.05
3816.806,35.999
3817.684,38.472
3818.562,37.835
3819.443,36.873
3820.322,40.325
3821.202,41.744
3822.082,42.616
3822.963,45.371
3823.842,43.83
3824.724,38.939
3825.604,36.811
3826.484,34.809
3827.366,35.288
3828.247,36.495
3829.13,38.991
3830.01,39.957
3830.894,35.083
3831.775,29.323
3832.656,33.581
3833.54,34.16
3834.422,32.406
3835.306,34.673
3836.189,33.248
3837.073,28.601
3837.956,29.427
3838.839,30.507
3839.724,26.022
3840.608,25.623
3841.493,27.722
3842.377,26.423
3843.263,25.927
3844.147,21.936
3845.031,20.171
3845.918,22.496
3846.803,25.511
3847.69,24.313
3848.575,20.382
3849.463,22.932
3850.348,25.254
3851.234,26.113
3852.122,29.149
3853.008,31.909
3853.897,32.059
3854.783,30.992
3855.672,33.919
3856.559,38.375
3857.446,35.203
3858.336,38.817
3859.223,43.73
3860.114,39.244
3861.001,40.944
3861.892,38.118
3862.78,39.139
3863.669,41.89
3864.56,37.838
3865.449,40.334
3866.34,38.261
3867.23,38.426
3868.121,39.331
3869.011,37.349
3869.901,35.265
3870.794,36.747
3871.684,37.214
3872.577,36.995
3873.468,40.16
3874.361,38.975
3875.252,43.91
3876.144,46.882
3877.038,41.46
3877.93,42.593
3878.824,43.912
3879.716,41.707
3880.611,41.162
3881.504,42.967
3882.396,40.725
3883.292,34.36
3884.185,34.812
3885.081,35.202
3885.975,42.293
3886.871,40.678
3887.765,40.21
3888.659,40.333
3889.556,35.952
3890.451,39.242
3891.348,35.709
3892.243,39.023
3893.141,31.607
3894.036,37.423
3894.934,34.695
3895.83,30.828
3896.726,30.488
3897.625,29.312
3898.521,27.588
3899.421,26.21
3900.318,27.796
3901.217,25.427
3902.115,31.319
3903.012,30.628
3903.912,31.337
3904.81,34.546
3905.711,34.762
3906.609,35.574
3907.51,38.483
3908.409,32.118
3909.308,36.315
3910.21,35.762
3911.109,40.195
3912.011,41.178
3912.911,40.129
3913.813,39.223
3914.714,41.823
3915.614,44.406
3916.517,36.903
3917.418,43.006
3918.322,42.203
3919.223,43.99
3920.127,48.638
3921.029,44.376
3921.931,41.917
3922.835,44.716
3923.737,45.073
3924.642,44.837
3925.545,49.477
3926.45,47.394
3927.354,45.036
3928.257,49.04
3929.163,44.424
3930.067,40.192
3930.973,41.722
3931.877,42.189
3932.784,38.949
3933.689,37.108
3934.594,40.028
3935.501,40.037
3936.406,41.82
3937.314,39.992
3938.22,38.361
3939.128,35.917
3940.034,27.731
3940.941,24.028
3941.849,31.003
3942.756,22.394
3943.665,22.956
3944.573,24.349
3945.482,18.081
3946.39,18.327
3947.298,23.499
3948.208,26.186
3949.116,28.053
3950.027,31.298
3950.936,33.787
3951.847,42.136
3952.756,41.916
3953.665,39.105
3954.577,33.722
3955.487,35.044
3956.399,38.563
3957.309,40.783
3958.221,41.398
3959.132,40.599
3960.045,42.31
3960.956,43
3961.867,44.643
3962.781,43.145
3963.692,40.044
3964.606,44.541
3965.519,44.203
3966.433,43.879
3967.345,47.465
3968.258,40.355
3969.173,36.963
3970.086,38.863
3971.002,39.198
3971.915,40
3972.831,36.532
3973.745,32.362
3974.659,29.692
3975.576,26.545
3976.49,23.705
3977.407,23.245
3978.323,20.194
3979.24,20.708
3980.155,17.62
3981.071,15.583
3981.989,18.094
3982.905,18.416
3983.823,20.007
3984.74,24.35
3985.659,26.936
3986.576,31.173
3987.493,30.471
3988.412,35.577
3989.33,38.554
3990.25,42.044
3991.168,41.886
3992.088,42.288
3993.006,43.908
3993.925,43.615
3994.846,42.712
3995.765,41.563
3996.686,42.365
3997.606,47.072
3998.528,47.538
3999.448,50.269
4000.367,48.306
4001.29,47.396
4002.21,49.026
4003.133,48.675
4004.054,50.269
4004.978,49.228
4005.899,51.832
4006.821,46.167
4007.745,45.302
4008.667,43.968
4009.591,48.749
4010.513,52.488
4011.438,50.883
4012.361,51.754
4013.284,53.389
4014.209,50.607
4015.133,53.427
4016.059,48.824
4016.983,50.015
4017.909,48.034
4018.833,49.01
4019.758,52.122
4020.685,51.989
4021.61,51.045
4022.537,52.062
4023.462,52.698
4024.39,52.222
4025.316,50.797
4026.242,53.979
4027.17,54.257
4028.097,52.005
4029.026,50.637
4029.953,51.711
4030.882,53.622
4031.809,51.208
4032.739,49.701
4033.667,52.251
4034.595,52.162
4035.525,49.253
4036.453,51.698
4037.384,52.348
4038.313,50.742
4039.244,51.878
4040.174,53.465
4041.103,51.884
4042.035,48.217
4042.965,46.733
4043.897,48.343
4044.827,48.864
4045.76,47.693
4046.691,47.996
4047.622,50.691
4048.555,51.726
4049.486,50.376
4050.42,51.796
4051.352,51.585
4052.286,49.878
4053.219,53.41
4054.151,53.984
4055.086,56.23
4056.019,51.899
4056.954,45.169
4057.887,45.747
4058.823,47.915
4059.757,49.09
4060.691,53.417
4061.627,49.561
4062.561,53.15
4063.498,54.116
4064.433,51.492
4065.37,49.235
4066.305,49.537
4067.241,50.77
4068.179,48.63
4069.115,44.852
4070.053,50.855
4070.989,52.856
4071.928,52.844
4072.865,50.14
4073.802,49.894
4074.741,50.563
4075.679,47.9
4076.618,42.904
4077.556,42.733
4078.497,48.792
4079.435,47.216
4080.373,49.124
4081.314,48.969
4082.253,47.831
4083.194,46.77
4084.134,47.911
4085.076,50.859
4086.015,51.894
4086.955,49.583
4087.898,47.833
4088.838,45.872
4089.781,40.252
4090.722,44.506
4091.665,49.629
4092.606,50.317
4093.548,51.438
4094.492,50.004
4095.434,48.191
4096.378,49.989
4097.321,48.598
4098.266,48.909
4099.208,50.889
4100.151,45.677
4101.097,49.997
4102.04,51.439
4102.986,50.409
4103.93,48.583
4104.876,49
4105.821,48.922
4106.768,43.79
4107.712,44.082
4108.657,39.883
4109.604,38.036
4110.55,37.428
4111.498,36.88
4112.444,33.51
4113.392,33.794
4114.338,34.687
4115.285,34.826
4116.234,37.254
4117.181,34.527
4118.13,39.058
4119.078,41.704
4120.027,42.643
4120.975,42.744
4121.923,41.493
4122.874,41.08
4123.822,41.15
4124.773,43.413
4125.722,48.327
4126.673,49.615
4127.623,47.312
4128.572,48.735
4129.524,51.491
4130.475,47.959
4131.427,46.929
4132.377,49.687
4133.33,51.623
4134.281,50.326
4135.232,49.495
4136.186,51.217
4137.137,49.608
4138.091,47.997
4139.043,52.115
4139.998,49.56
4140.95,46.137
4141.903,44.904
4142.858,46.193
4143.811,47.011
4144.767,44.194
4145.72,43.148
4146.676,48.163
4147.63,46.671
4148.584,49.137
4149.541,52.014
4150.495,51.131
4151.453,51.548
4152.407,51.254
4153.365,49.786
4154.32,47.974
4155.276,44.553
4156.234,43.766
4157.19,50.942
4158.149,46.437
4159.105,48.503
4160.065,49.718
4161.022,49.674
4161.979,49.053
4162.939,46.736
4163.896,48.487
4164.856,50.75
4165.815,47.094
4166.775,46.883
4167.734,46.795
4168.693,45.487
4169.654,48.035
4170.613,48.821
4171.575,49.928
4172.535,52.893
4173.497,52.825
4174.457,52.894
4175.417,53.361
4176.38,52.222
4177.341,56.409
4178.304,50.468
4179.265,49.24
4180.229,48.732
4181.191,48.845
4182.155,49.145
4183.117,46.893
4184.08,46.899
4185.044,46.852
4186.007,42.771
4186.972,43.727
4187.936,49.031
4188.901,45.188
4189.865,47.11
4190.829,48.368
4191.795,47.054
4192.759,45.851
4193.726,45.85
4194.691,47.172
4195.658,49.79
4196.624,52.11
4197.589,51.824
4198.557,49.251
4199.523,46.416
4200.491,48.734
4201.458,51.716
4202.426,51.755
4203.393,51.771
4204.36,52.82
4205.33,53.131
4206.297,51.611
4207.267,49.72
4208.235,48.139
4209.205,45.49
4210.174,47.25
4211.142,43.619
4212.113,44.682
4213.082,47.818
4214.054,44.335
4215.023,44.26
4215.995,47.864
4216.965,47.349
4217.935,46.595
4218.908,50.484
4219.878,53.503
4220.852,54.172
4221.822,50.765
4222.796,49.283
4223.768,51.005
4224.739,50.43
4225.713,48.488
4226.686,48.72
4227.66,48.635
4228.633,47.335
