wavelength,flux
4132.377,10.316
4133.33,13.659
4134.281,9.126
4135.232,8.601
4136.186,8.397
4137.137,9.322
4138.091,9.67
4139.043,7.695
4139.998,9.265
4140.95,12.364
4141.903,10.702
4142.858,7.889
4143.811,9.919
4144.767,9.886
4145.72,9.891
4146.676,12.874
4147.63,6.187
4148.584,12.428
4149.541,10.717
4150.495,9.439
4151.453,10.411
4152.407,6.498
4153.365,7.089
4154.32,10.364
4155.276,8.741
4156.234,12.545
4157.19,13.734
4158.149,8.466
4159.105,7.329
4160.065,9.652
4161.022,8.96
4161.979,9.74
4162.939,12.166
4163.896,10.021
4164.856,9.826
4165.815,7.404
4166.775,8.08
4167.734,11.264
4168.693,9.598
4169.654,10.613
4170.613,12.163
4171.575,9.741
4172.535,8.35
4173.497,10.425
4174.457,10.092
4175.417,9.769
4176.38,9.825
4177.341,8.327
4178.304,10.076
4179.265,8.373
4180.229,13.143
4181.191,12.989
4182.155,10.389
4183.117,10.815
4184.08,11.808
4185.044,12.569
4186.007,11.101
4186.972,7.169
4187.936,7.67
4188.901,4.951
4189.865,7.01
4190.829,10.397
4191.795,9.185
4192.759,10.958
4193.726,11.672
4194.691,8.412
4195.658,9.652
4196.624,9.528
4197.589,7.753
4198.557,10.674
4199.523,10.593
4200.491,9.722
4201.458,10.237
4202.426,9.015
4203.393,9.953
4204.36,11.249
4205.33,9.134
4206.297,8.555
4207.267,12.176
4208.235,11.559
4209.205,7.585
4210.174,10.785
4211.142,7.447
4212.113,11.241
4213.082,11.713
4214.054,9.236
4215.023,8.525
4215.995,8.949
4216.965,9.557
4217.935,10.689
4218.908,11.257
4219.878,8.74
4220.852,11.43
4221.822,10.077
4222.796,8.534
4223.768,8.755
4224.739,10.876
4225.713,9.174
4226.686,7.453
4227.66,8.88
4228.633,8.199
4229.608,11.178
4230.581,10.273
4231.554,7.752
4232.53,11.399
4233.503,11.627
4234.48,10.45
4235.454,13.312
4236.431,13.24
4237.405,9.707
4238.38,9.606
4239.357,11.315
4240.333,9.822
4241.311,10.342
4242.286,9.929
4243.264,11.258
4244.241,10.868
4245.217,9.266
4246.196,8.274
4247.173,9.696
4248.152,12.029
4249.129,11.807
4250.109,10.461
4251.087,9.572
4252.065,6.246
4253.045,8.611
4254.024,10.582
4255.005,11.432
4255.983,12.762
4256.965,12.257
4257.944,11.314
4258.926,9.647
4259.906,7.778
4260.886,7.602
4261.869,7.407
4262.849,6.023
4263.832,8.899
4264.813,8.642
4265.796,9.49
4266.778,9.087
4267.759,6.245
4268.743,7.584
4269.726,8.44
4270.71,7.821
4271.692,7.9
4272.677,9.572
4273.661,11.879
4274.644,11.144
4275.629,7.561
4276.613,9.628
4277.599,10.631
4278.583,8.788
4279.57,8.877
4280.554,9.015
4281.539,9.862
4282.526,11.577
4283.512,10.824
4284.499,10.895
4285.485,12.767
4286.473,8.037
4287.459,10.097
4288.445,13.921
4289.435,8.159
4290.421,7.307
4291.411,8.662
4292.398,12.348
4293.388,10.893
4294.375,11.141
4295.363,12.834
4296.354,11.005
4297.342,10.762
4298.333,10.59
4299.322,6.837
4300.313,6.987
4301.303,12.506
4302.292,11.09
4303.284,10.419
4304.274,8.383
4305.267,7.259
4306.257,9.203
4307.25,10.894
4308.241,11.116
4309.232,9.75
4310.226,6.786
4311.217,10.918
4312.211,12.428
4313.204,8.848
4314.198,11.216
4315.19,11.166
4316.184,6.498
4317.179,6.302
4318.172,9.479
4319.167,8.559
4320.161,7.878
4321.157,11.517
4322.151,10.45
4323.146,7.524
4324.143,8.945
4325.138,7.841
4326.135,7.111
4327.13,6.775
4328.128,7.366
4329.124,8.298
4330.12,8.804
4331.118,9.783
4332.114,10.527
4333.113,9.788
4334.11,9.539
4335.11,9.76
4336.107,6.025
4337.107,3.551
4338.104,6.796
4339.103,9.605
4340.103,8.769
4341.102,8.082
4342.103,8.367
4343.102,9.763
4344.103,9.092
4345.103,8.83
4346.102,11.461
4347.104,10.873
4348.104,13.175
4349.107,9.99
4350.107,10.775
4351.11,7.287
4352.111,4.939
4353.113,8.33
4354.117,8.187
4355.118,6.986
4356.123,9.116
4357.125,9.288
4358.129,5.936
4359.132,7.139
4360.135,12.021
4361.14,11.851
4362.144,9.34
4363.149,9.575
4364.153,8.319
4365.159,7.561
4366.164,6.288
4367.168,8.696
4368.175,13.471
4369.18,12.495
4370.188,9.241
4371.193,8.445
4372.201,5.578
4373.207,8.258
4374.213,7.982
4375.221,7.499
4376.228,6.786
4377.237,10.312
4378.244,9.79
4379.253,9.717
4380.261,7.501
4381.269,7.818
4382.279,9.398
4383.287,8.939
4384.298,9.46
4385.307,9.855
4386.318,9.864
4387.327,9.408
4388.336,8.309
4389.348,9.559
4390.358,9.786
4391.37,10.702
4392.38,9.724
4393.394,9.877
4394.404,10.674
4395.415,9.99
4396.429,10.32
4397.44,10.279
4398.454,6.663
4399.466,8.875
4400.48,11.308
4401.493,7.863
4402.505,9.887
4403.521,8.248
4404.534,8.192
4405.549,9.375
4406.562,11.953
4407.579,9.809
4408.593,10.13
4409.607,12.849
4410.624,10.167
4411.639,8.643
4412.656,6.856
4413.671,8.23
4414.688,10.195
4415.704,7.377
4416.723,9.339
4417.739,8.069
4418.755,8.811
4419.774,9.053
4420.791,8.997
4421.81,11.268
4422.827,9.509
4423.847,5.143
4424.865,8.59
4425.883,10.073
4426.903,9.844
4427.922,8.513
4428.943,5.793
4429.962,9.267
4430.983,8.616
4432.002,8.789
4433.022,9.192
4434.044,10.305
4435.064,9.154
4436.087,8.507
4437.108,9.627
4438.131,9.252
4439.152,9.825
4440.173,10.063
4441.197,11.563
4442.219,12.026
4443.243,8.192
4444.265,9.417
4445.29,9.904
4446.312,9.568
4447.335,7.983
4448.361,10.055
4449.384,11.5
4450.411,9.955
4451.434,9.922
4452.461,10.566
4453.485,9.215
4454.51,8.724
4455.537,9.949
4456.562,8.618
4457.589,8.929
4458.615,9.775
4459.643,7.783
4460.669,7.135
4461.695,8.828
4462.724,10.262
4463.75,9.623
4464.78,9.489
4465.807,10.401
4466.837,9.878
4467.864,10.048
4468.892,9.237
4469.923,7.695
4470.951,8.042
4471.982,9.834
4473.011,8.569
4474.042,10.816
4475.072,10.705
4476.101,8.383
4477.133,9.669
4478.163,10.706
4479.196,9.351
4480.227,8.983
4481.259,10.253
4482.291,11.371
4483.321,8.2
4484.355,6.609
4485.387,10.087
4486.421,10.714
4487.454,9.442
4488.488,7.991
4489.521,8.154
4490.554,9.843
4491.589,9.853
4492.623,9.818
4493.658,9.714
4494.692,8.354
4495.729,8.71
4496.763,10.145
4497.8,8.092
4498.834,8.853
4499.87,8.166
4500.907,12.115
4501.942,10.036
4502.98,11.555
4504.017,10.632
4505.055,9.985
4506.091,11.494
4507.128,10.355
4508.167,12.129
4509.205,12.676
4510.245,8.338
4511.282,8.065
4512.322,7.899
4513.36,11.09
4514.398,10.038
4515.439,11.206
4516.479,9.895
4517.52,11.906
4518.559,9.393
4519.601,8.335
4520.641,10.451
4521.681,9.089
4522.724,8.906
4523.764,11.812
4524.807,12.125
4525.848,9.666
4526.892,9.627
4527.933,11.183
4528.975,9.486
4530.019,6.39
4531.061,8.692
4532.106,6.709
4533.149,11.887
4534.194,10.122
4535.237,7.021
4536.28,9.543
4537.327,8.772
4538.37,9.65
4539.417,10.872
4540.461,9.509
4541.508,8.941
4542.553,8.177
4543.598,9.199
4544.646,10.872
4545.691,12.2
4546.739,11.7
4547.785,8.567
4548.834,10.953
4549.88,11.238
4550.927,11.446
4551.977,8.123
4553.024,9.619
4554.074,9.908
4555.122,9.362
4556.172,11.085
4557.22,10.716
4558.269,9.936
4559.319,11.559
4560.368,8.904
4561.42,8.114
4562.469,8.58
4563.521,10.636
4564.571,8.473
4565.621,10.038
4566.674,11.17
4567.725,10.726
4568.778,9.115
4569.829,8.814
4570.883,9.283
4571.934,9.649
4572.989,10.191
4574.041,11.335
4575.093,10.924
4576.148,7.81
4577.201,9.437
4578.256,10.376
4579.309,8.232
4580.365,9.924
4581.419,8.198
4582.473,9.697
4583.53,9.367
4584.584,8.924
4585.641,9.224
4586.696,8.399
4587.754,7.826
4588.809,9.489
4589.865,10.509
4590.923,9.412
4591.979,9.594
4593.039,10.374
4594.095,9.512
4595.154,8.36
4596.211,9.137
4597.269,11.243
4598.329,10.711
4599.387,11.862
4600.447,7.388
4601.506,8.591
4602.567,9.814
4603.625,11.256
4604.685,11.504
4605.747,10.253
4606.806,9.889
4607.869,10.822
4608.929,10.425
4609.991,9.61
4611.052,11.659
4612.113,9.9
4613.176,9.73
4614.237,8.29
4615.301,11.286
4616.363,9.463
4617.428,8.731
4618.49,13.353
4619.552,9.607
4620.618,8.455
4621.681,9.364
4622.747,9.797
4623.81,10.368
4624.876,10.101
4625.94,9.73
4627.004,10.145
4628.071,10.252
4629.136,10.709
4630.203,10.707
4631.269,9.424
4632.336,8.39
4633.402,9.795
4634.468,9.328
4635.537,9.564
4636.603,11.547
4637.672,10.156
4638.739,9.258
4639.809,10.123
4640.876,11.588
4641.944,10.314
4643.014,10.334
4644.083,11.067
4645.153,8.844
4646.222,8.74
4647.293,8.258
4648.362,10.758
4649.432,10.247
4650.504,9.11
4651.574,10.913
4652.646,7.681
4653.717,9.838
4654.79,10.156
4655.861,11.47
4656.935,8.06
4658.006,9.695
4659.077,12.048
4660.152,8.909
4661.224,9.113
4662.298,9.311
4663.371,8.902
4664.446,12.142
4665.52,9.16
4666.593,9.214
4667.669,7.86
4668.743,9.741
4669.819,11.666
4670.894,9.451
4671.971,8.79
4673.045,9.887
4674.121,12.569
4675.198,10.8
4676.274,11.365
4677.352,10.302
4678.428,9.445
4679.507,10.038
4680.583,10.029
4681.66,10.121
4682.74,10.93
4683.817,10.284
4684.897,9.406
4685.975,10.422
4687.056,9.529
4688.134,10.089
4689.212,10.702
4690.293,11.335
4691.373,11.707
4692.455,7.787
4693.534,8.875
4694.616,9.192
4695.696,10.15
4696.776,8.782
4697.859,7.809
4698.94,7.923
4700.024,6.901
4701.105,7.652
4702.189,10.685
4703.271,10.835
4704.353,8.281
4705.438,8.251
4706.52,9.404
4707.605,10.314
4708.688,11.62
4709.774,8.787
4710.858,10.068
4711.941,8.629
4713.028,12.358
4714.112,9.52
4715.199,9.777
4716.284,7.734
4717.372,10.835
4718.457,8.934
4719.542,9.315
4720.631,9.68
4721.717,9.134
4722.806,11.021
4723.892,10.99
4724.981,8.711
4726.068,9.74
4727.155,10.328
4728.246,8.342
4729.333,9.789
4730.424,10.049
4731.512,8.618
4732.603,10.235
4733.692,11.221
4734.781,7.844
4735.873,9.132
4736.962,9.341
4738.055,9.085
4739.145,9.113
4740.237,7.363
4741.328,8.231
4742.421,8.819
4743.512,9.069
4744.604,10.007
4745.697,10.289
4746.789,9.557
4747.884,9.534
4748.976,9.8
4750.071,8.865
4751.164,9.127
4752.257,8.309
4753.353,9.62
4754.446,9.582
4755.542,9.309
4756.637,10.148
4757.733,9.124
4758.828,10.458
4759.923,9.841
4761.021,8.378
4762.116,9.618
4763.214,9.668
4764.31,9.466
4765.408,9.07
4766.504,10.001
4767.601,10.255
4768.7,10.321
4769.797,9.256
4770.897,8.406
4771.995,9.351
4773.095,9.207
4774.193,10.547
4775.292,9.777
4776.393,10.64
4777.492,9.852
4778.593,9.796
4779.692,10.159
4780.795,9.503
4781.895,9.656
4782.995,9.311
4784.098,9.575
4785.198,8.767
4786.302,9.637
4787.403,8.622
4788.507,8.061
4789.608,9.47
4790.71,9.608
4791.815,8.747
4792.917,9.122
4794.022,8.192
4795.125,9
4796.231,11.028
4797.334,9.861
4798.438,10.142
4799.544,8.32
4800.649,6.865
4801.756,9.051
4802.86,9.48
4803.968,9.029
4805.073,9.145
4806.178,10.631
4807.287,8.346
4808.393,8.944
4809.501,11.306
4810.608,10.321
4811.717,9.876
4812.824,7.437
4813.931,9.659
4815.042,11.606
4816.149,10.603
4817.26,8.675
4818.368,9.36
4819.479,11.022
4820.588,9.768
4821.697,9.472
4822.809,10.034
4823.918,8.69
4825.03,10.152
4826.14,9.501
4827.253,7.953
