wavelength,flux
4125.722,8.817
4126.673,6.464
4127.623,6.571
4128.572,7.826
4129.524,5.495
4130.475,5.276
4131.427,6.464
4132.377,3.17
4133.33,1.396
4134.281,5.854
4135.232,3.459
4136.186,6.067
4137.137,6.556
4138.091,4.337
4139.043,6.554
4139.998,5.656
4140.95,8.606
4141.903,5.917
4142.858,7.379
4143.811,7.551
4144.767,7.975
4145.72,6.186
4146.676,6.043
4147.63,5.971
4148.584,3.82
4149.541,3.038
4150.495,3.294
4151.453,4.847
4152.407,6.255
4153.365,7.115
4154.32,5.72
4155.276,8.582
4156.234,9.362
4157.19,8.018
4158.149,7.684
4159.105,7.949
4160.065,5.376
4161.022,2.498
4161.979,3.401
4162.939,2.89
4163.896,3.714
4164.856,1.889
4165.815,3.107
4166.775,4.056
4167.734,4.159
4168.693,3.19
4169.654,2.509
4170.613,5.773
4171.575,5.846
4172.535,5.353
4173.497,5.974
4174.457,4.703
4175.417,3.981
4176.38,4.916
4177.341,5.552
4178.304,2.997
4179.265,1.057
4180.229,2.749
4181.191,4.246
4182.155,6.763
4183.117,3.073
4184.08,5.598
4185.044,8.385
4186.007,6.56
4186.972,6.133
4187.936,5.127
4188.901,4.56
4189.865,5.523
4190.829,3.928
4191.795,4.272
4192.759,5.717
4193.726,5.692
4194.691,4.583
4195.658,3.947
4196.624,5.08
4197.589,6.143
4198.557,6.317
4199.523,5.606
4200.491,4.543
4201.458,4.315
4202.426,4.888
4203.393,4.817
4204.36,5.927
4205.33,3.905
4206.297,6.477
4207.267,6.34
4208.235,7.135
4209.205,7.813
4210.174,7.134
4211.142,6.017
4212.113,3.868
4213.082,7.969
4214.054,6.715
4215.023,6.152
4215.995,6.78
4216.965,8.02
4217.935,6.771
4218.908,6.559
4219.878,7.48
4220.852,6.643
4221.822,5.613
4222.796,7.089
4223.768,5.993
4224.739,7.571
4225.713,4.702
4226.686,6.997
4227.66,5.069
4228.633,5.254
4229.608,3.781
4230.581,3.342
4231.554,5.697
4232.53,5.208
4233.503,2.938
4234.48,3.344
4235.454,2.923
4236.431,4.896
4237.405,5.79
4238.38,5.677
4239.357,4.216
4240.333,5.833
4241.311,7.039
4242.286,5.851
4243.264,5.801
4244.241,5.928
4245.217,4.318
4246.196,6.524
4247.173,7.162
4248.152,8.48
4249.129,6.536
4250.109,7.109
4251.087,6.48
4252.065,5.565
4253.045,4.5
4254.024,3.623
4255.005,5.462
4255.983,4.917
4256.965,6.659
4257.944,4.516
4258.926,5.835
4259.906,4.411
4260.886,4.275
4261.869,3.479
4262.849,3.103
4263.832,4.537
4264.813,5.847
4265.796,5.569
4266.778,5.367
4267.759,4.49
4268.743,4.131
4269.726,3.277
4270.71,5.072
4271.692,3.991
4272.677,3.46
4273.661,3.289
4274.644,3.217
4275.629,4.009
4276.613,4.325
4277.599,3.631
4278.583,3.505
4279.57,2.743
4280.554,3.818
4281.539,3.811
4282.526,3.459
4283.512,4.409
4284.499,4.065
4285.485,4.114
4286.473,6.3
4287.459,6.742
4288.445,4.837
4289.435,5.532
4290.421,5.57
4291.411,7.629
4292.398,6.122
4293.388,6.308
4294.375,5.645
4295.363,4.876
4296.354,5.207
4297.342,5.685
4298.333,5.406
4299.322,5.336
4300.313,6.38
4301.303,5.453
4302.292,3.468
4303.284,6.178
4304.274,3.169
4305.267,2.253
4306.257,5.99
4307.25,8.767
4308.241,7.527
4309.232,6.1
4310.226,6.514
4311.217,6.25
4312.211,5.386
4313.204,4.449
4314.198,5.219
4315.19,5.666
4316.184,6.891
4317.179,6.273
4318.172,4.235
4319.167,3.849
4320.161,5.13
4321.157,6.483
4322.151,6.918
4323.146,6.807
4324.143,6.831
4325.138,6.053
4326.135,5.237
4327.13,8.191
4328.128,6.727
4329.124,4.142
4330.12,5.026
4331.118,6.743
4332.114,6.169
4333.113,5.783
4334.11,5.227
4335.11,2.968
4336.107,4.737
4337.107,3.46
4338.104,3.91
4339.103,4.655
4340.103,5.279
4341.102,6.034
4342.103,6.991
4343.102,6.358
4344.103,4.736
4345.103,4.696
4346.102,5.914
