wavelength,flux
3801.893,0.334
3802.77,2.064
3803.645,8.38
3804.522,6.352
3805.397,0.526
3806.273,3.06
3807.15,0.699
3808.026,1.933
3808.904,6.554
3809.781,0.803
3810.659,3.852
3811.536,4.226
3812.413,-0.799
3813.292,9.05
3814.169,7.824
3815.048,9.185
3815.926,6.496
3816.806,0.573
3817.684,8.18
3818.562,10.492
3819.443,8.856
3820.322,3.944
3821.202,7.994
3822.082,6.727
3822.963,9.262
3823.842,5.958
3824.724,2.348
3825.604,9.44
3826.484,8.815
3827.366,4.103
3828.247,6.243
3829.13,1.06
3830.01,1.182
3830.894,6.347
3831.775,6.412
3832.656,2.423
3833.54,2.366
3834.422,7.889
3835.306,6.803
3836.189,-2.096
3837.073,-0.895
3837.956,5.723
3838.839,7.128
3839.724,2.682
3840.608,5.864
3841.493,10.849
3842.377,5.529
3843.263,7.182
3844.147,1.799
3845.031,4.461
3845.918,5.683
3846.803,5.394
3847.69,3.536
3848.575,6.246
3849.463,7.867
3850.348,5.731
3851.234,10.951
3852.122,1.429
3853.008,3.467
3853.897,6.276
3854.783,4.778
3855.672,2.911
3856.559,2.257
3857.446,3.71
3858.336,5.01
3859.223,5.085
3860.114,9.536
3861.001,5.755
3861.892,2.836
3862.78,5.746
3863.669,4.493
3864.56,5.297
3865.449,6.77
3866.34,8.15
3867.23,10.22
3868.121,1.423
3869.011,8.484
3869.901,-0.098
3870.794,7.22
3871.684,10.273
3872.577,6.212
3873.468,5.317
3874.361,6.935
3875.252,4.869
3876.144,2.346
3877.038,5.579
3877.93,6.292
3878.824,6.543
3879.716,6.489
3880.611,6.461
3881.504,8.06
3882.396,5.577
3883.292,0.886
3884.185,3.873
3885.081,8.478
3885.975,5.36
3886.871,9.956
3887.765,9.205
3888.659,4.181
3889.556,4.333
3890.451,7.339
3891.348,9.019
3892.243,8.75
3893.141,6.202
3894.036,4.158
3894.934,2.014
3895.83,9.77
3896.726,4.083
3897.625,4.638
3898.521,4.844
3899.421,4.239
3900.318,6.449
3901.217,6.255
3902.115,9.782
3903.012,3.257
3903.912,1.65
3904.81,6.41
3905.711,7.006
3906.609,5.12
3907.51,4.726
3908.409,6.287
3909.308,8.068
3910.21,8.553
3911.109,6.957
3912.011,6.011
3912.911,10.188
3913.813,5.726
3914.714,4.845
3915.614,5.843
3916.517,7.503
3917.418,7.404
3918.322,3.426
3919.223,6.906
3920.127,1.29
3921.029,6.481
3921.931,4.664
3922.835,4.811
3923.737,5.398
3924.642,4.882
3925.545,4.78
3926.45,5.651
3927.354,7.341
3928.257,5.558
3929.163,5.09
3930.067,3.585
3930.973,9.243
3931.877,5.144
3932.784,4.201
3933.689,6.694
3934.594,2.126
3935.501,4.996
3936.406,5.643
3937.314,2.717
3938.22,7.914
3939.128,4.184
3940.034,1.746
3940.941,7.519
3941.849,7.694
3942.756,5.104
3943.665,6.434
3944.573,0.967
3945.482,1.886
3946.39,7.62
3947.298,4.54
3948.208,5.586
3949.116,6.143
3950.027,4.401
3950.936,3.683
3951.847,4.687
3952.756,4.355
3953.665,3.017
3954.577,5.65
3955.487,6.165
3956.399,5.338
3957.309,4.487
3958.221,6.498
3959.132,4.786
3960.045,3.377
3960.956,8.243
3961.867,10.13
3962.781,7.063
3963.692,2.539
3964.606,6.101
3965.519,3.783
3966.433,4.532
3967.345,5.147
3968.258,4.676
3969.173,5.071
3970.086,5.388
3971.002,6.519
3971.915,6.749
3972.831,5.848
3973.745,5.609
3974.659,8.482
3975.576,10.174
3976.49,5.896
3977.407,3.619
3978.323,5.283
3979.24,3.247
3980.155,4.481
3981.071,4.224
3981.989,4.191
3982.905,5.136
3983.823,4.977
3984.74,6.701
3985.659,8.42
3986.576,9.257
3987.493,8.207
3988.412,4.044
3989.33,7.157
3990.25,8.157
3991.168,8.303
3992.088,6.794
3993.006,6.028
3993.925,6.616
3994.846,5.808
3995.765,6.183
3996.686,6.954
3997.606,4.136
3998.528,3.38
3999.448,4.68
4000.367,2.298
4001.29,5.252
4002.21,5.216
4003.133,2.807
4004.054,3.754
4004.978,5.263
4005.899,4.055
4006.821,7.2
4007.745,6.156
4008.667,6.066
4009.591,4.114
4010.513,2.441
4011.438,2.934
4012.361,4.526
