wavelength,flux
3798.395,10.598
3799.269,4.936
3800.143,7.843
3801.019,5.74
3801.893,9.035
3802.77,5.565
3803.645,4.7
3804.522,3.93
3805.397,-0.036
3806.273,-0.748
3807.15,2.242
3808.026,5.224
3808.904,2.941
3809.781,4.976
3810.659,10.346
3811.536,3.976
3812.413,7.47
3813.292,11.53
3814.169,3.815
3815.048,8.706
3815.926,7.597
3816.806,10.51
3817.684,8.498
3818.562,8.6
3819.443,6.331
3820.322,2.144
3821.202,7.745
3822.082,12.848
3822.963,3.947
3823.842,9.526
3824.724,8.729
3825.604,5.754
3826.484,8.127
3827.366,3.476
3828.247,6.137
3829.13,3.709
3830.01,-0.977
3830.894,6.133
3831.775,3.406
3832.656,4.521
3833.54,4.433
3834.422,5.303
3835.306,3.951
3836.189,1.11
3837.073,-1.27
3837.956,1.115
3838.839,6.117
3839.724,5.396
3840.608,5.339
3841.493,7.14
3842.377,5.559
3843.263,6.223
3844.147,3.041
3845.031,3.044
3845.918,9.373
3846.803,11.31
3847.69,6.04
3848.575,7.94
3849.463,7.162
3850.348,7.082
3851.234,4.497
3852.122,4.512
3853.008,6.176
3853.897,7.327
3854.783,7.222
3855.672,5.751
3856.559,4.608
3857.446,5.978
3858.336,7.403
3859.223,4.104
3860.114,2.633
3861.001,8.097
3861.892,9.991
3862.78,9.413
3863.669,10.487
3864.56,8.393
3865.449,11.45
3866.34,7.642
3867.23,3.017
3868.121,6.627
3869.011,2.166
3869.901,3.932
3870.794,7.59
3871.684,6.98
3872.577,10.059
3873.468,7.65
3874.361,4.858
3875.252,4.754
3876.144,7.038
3877.038,5.486
3877.93,5.247
3878.824,5.227
3879.716,3.554
3880.611,5.201
3881.504,10.229
3882.396,8.255
3883.292,4.11
3884.185,6.035
3885.081,4.624
3885.975,4.294
3886.871,6.417
3887.765,11.788
3888.659,21.167
3889.556,30.455
3890.451,35.065
3891.348,40.739
3892.243,51.911
3893.141,42.222
3894.036,24.797
3894.934,11.636
3895.83,4.698
3896.726,5.42
3897.625,9.2
3898.521,6.279
3899.421,5.891
3900.318,6.805
3901.217,5.143
3902.115,2.586
3903.012,5.033
3903.912,7.171
3904.81,7.363
3905.711,6.675
3906.609,6.075
3907.51,9.805
3908.409,10.575
3909.308,11.346
3910.21,12.562
3911.109,8.81
3912.011,7.076
3912.911,6.575
3913.813,4.615
3914.714,5.616
3915.614,8.3
3916.517,4.154
3917.418,10.766
3918.322,8.329
3919.223,7.576
3920.127,7.384
3921.029,6.817
3921.931,8.146
3922.835,10.963
3923.737,9.931
3924.642,3.351
3925.545,4.139
3926.45,10.634
3927.354,9.406
3928.257,8.032
3929.163,6.294
3930.067,5.069
3930.973,3.051
3931.877,2.506
3932.784,6.788
3933.689,5.125
3934.594,4.276
3935.501,3.098
3936.406,5.412
3937.314,6.589
3938.22,4.08
3939.128,6.775
3940.034,9.332
3940.941,5.928
3941.849,10.536
3942.756,7.893
3943.665,7.508
3944.573,2.207
3945.482,6.179
3946.39,7.826
3947.298,8.008
3948.208,8.221
3949.116,8.427
3950.027,10.617
3950.936,5.213
3951.847,6.835
3952.756,11.226
3953.665,5.794
3954.577,6.877
3955.487,8.556
3956.399,4.896
3957.309,5.153
3958.221,8.94
3959.132,4.07
3960.045,6.87
3960.956,4.388
3961.867,6.628
3962.781,4.957
3963.692,5.817
3964.606,5.654
3965.519,6.034
3966.433,7.667
3967.345,6.928
3968.258,7.095
3969.173,5.103
3970.086,9.426
3971.002,5.959
3971.915,4.541
3972.831,7.54
3973.745,6.812
3974.659,4.911
3975.576,8.238
3976.49,10.618
3977.407,6.451
3978.323,8.211
3979.24,4.62
3980.155,8.02
3981.071,10.499
3981.989,12.072
3982.905,11.331
3983.823,7.755
3984.74,5.572
3985.659,6.438
3986.576,6.835
3987.493,9.592
3988.412,8.485
3989.33,4.204
3990.25,4.155
3991.168,7.439
3992.088,7.467
3993.006,6.467
3993.925,6.967
3994.846,5.615
3995.765,7.455
3996.686,7.657
3997.606,5.377
3998.528,8.242
3999.448,7.132
4000.367,6.02
4001.29,7.04
4002.21,6.519
4003.133,2.549
4004.054,1.232
4004.978,10.066
4005.899,7.335
4006.821,3.849
4007.745,4.845
