wavelength,flux
3566.154,17.644
3566.974,9.385
3567.797,1.127
3568.618,-0.705
3569.438,-10.455
3570.262,7.478
3571.083,-19.671
3571.906,-0.98
3572.728,-2.015
3573.552,-0.03
3574.374,0.163
3575.196,-11.869
3576.021,5.248
3576.844,-5.065
3577.668,1.174
3578.491,2.878
3579.317,-2.265
3580.14,0.747
3580.964,0.092
3581.789,0.253
3582.613,-3.139
3583.439,-0.688
3584.264,0.248
3585.09,-4.438
3585.915,5.813
3586.74,-1.953
3587.567,-0.741
3588.392,-0.916
3589.22,3.044
3590.046,13.097
3590.874,-2.88
3591.699,1.946
3592.526,-2.317
3593.354,-1.776
3594.181,3.233
3595.01,0.816
3595.837,2.508
3596.666,0.424
3597.493,-1.469
3598.321,-0.047
3599.151,2.618
3599.979,2.335
3600.809,-0.698
3601.637,0.271
3602.468,-1.34
3603.296,-1.263
3604.125,2.27
3604.957,4.321
3605.786,0.537
3606.617,-0.977
3607.447,-0.803
3608.279,0.201
3609.109,0.857
3609.939,0.68
3610.772,0.632
3611.602,-2.972
3612.435,-3.309
3613.266,2.996
3614.099,3.391
3614.931,-6.116
3615.762,1.45
3616.596,2.602
3617.428,0.111
3618.262,0.496
3619.095,-0.817
3619.929,-4.099
3620.762,6.972
3621.597,0.881
3622.43,-0.879
3623.263,0.144
3624.099,-0.398
3624.933,-0.16
3625.769,1.133
3626.603,0.203
3627.439,3.981
3628.273,3.197
3629.108,-1.228
3629.945,0.478
3630.78,4.774
3631.617,1.744
3632.453,1.157
3633.29,-1.207
3634.126,-2.312
3634.962,1.197
3635.801,-4.185
3636.637,3.482
3637.476,0.778
3638.312,-0.15
3639.151,3.598
3639.989,1.378
3640.826,0.144
3641.665,0.706
3642.503,2.067
3643.343,-2.34
3644.181,-4.971
3645.021,2.62
3645.86,2.697
3646.699,-1.203
3647.54,-0.415
3648.379,-0.429
3649.22,-0.479
3650.06,2.163
3650.901,-2.893
3651.741,3.426
3652.581,-1.314
3653.424,-1.579
3654.264,3.593
3655.107,0.606
3655.948,3.232
3656.791,-1.957
3657.632,2.891
3658.473,-0.585
3659.317,-5.124
3660.159,6.222
3661.003,-2.347
3661.845,2.629
3662.689,-0.222
3663.532,-1.552
3664.375,0.965
3665.22,-2.209
3666.063,-0.528
3666.908,2.791
3667.752,0.819
3668.598,-0.966
3669.442,-0.058
3670.286,0.137
3671.132,0.166
3671.977,0.457
3672.823,0.509
3673.668,1.807
3674.516,1.09
3675.361,-3.113
3676.206,0.517
3677.054,0.667
3677.9,-0.152
3678.748,0.802
3679.594,1.723
3680.443,0.371
3681.29,0.44
3682.136,-1.349
3682.986,1.604
3683.833,3.067
3684.682,1.508
3685.53,1.912
3686.38,0.598
3687.228,-0.15
3688.078,1.382
3688.927,2.826
3689.775,2.295
3690.626,0.955
3691.475,1.274
3692.326,-0.299
3693.176,0.308
3694.027,0.732
3694.877,0.138
3695.727,0.852
3696.579,1.12
3697.43,0.733
3698.282,-0.001
3699.133,-0.366
3699.986,0.151
3700.837,1.22
3701.689,1.246
3702.542,-0.926
3703.394,0.614
3704.248,0.793
3705.1,-1.719
3705.955,-1.515
3706.807,-0.034
3707.66,0.626
3708.515,1.671
3709.368,2.676
3710.223,1.654
3711.077,-1.123
3711.933,0.036
3712.787,-0.52
3713.641,1.119
3714.497,1.404
3715.352,0.094
3716.208,0.742
3717.063,-1.552
3717.92,1.284
3718.776,3.119
3719.631,1.89
3720.489,0.565
3721.345,0.97
3722.203,-1.628
3723.059,-0.715
3723.918,-0.373
3724.775,1.022
3725.632,3.224
3726.49,2.283
3727.348,0.626
3728.207,1.37
3729.065,0.655
3729.925,-0.839
3730.783,0.297
3731.641,3.131
3732.502,-1.223
3733.36,1.077
3734.221,1.036
3735.08,-0.566
3735.942,-0.821
3736.801,-0.615
3737.661,1.578
3738.523,-0.28
3739.383,0.501
3740.245,1.104
3741.105,0.566
3741.968,2.768
3742.829,2.155
3743.69,-0.584
3744.553,-0.633
3745.415,-0.891
3746.279,-1.033
3747.14,2.703
3748.004,2.206
3748.867,1.179
3749.729,-0.489
3750.594,-0.519
3751.457,0.099
3752.322,-1.775
3753.185,-0.476
3754.05,0.838
3754.914,-0.39
3755.78,-0.614
3756.644,0.989
3757.508,0.472
3758.375,-0.574
3759.239,1.604
3760.106,0.265
3760.971,-0.866
3761.838,0.492
3762.704,0.082
3763.569,0.562
3764.437,0.374
3765.303,0.693
3766.171,0.641
3767.038,-0.072
3767.906,0.098
3768.773,0.96
3769.64,1.375
3770.51,2.027
3771.377,2.268
3772.247,1.506
3773.115,0.179
3773.984,-1.343
3774.853,-1.307
3775.721,-0.008
3776.592,0.163
3777.46,-1.145
3778.332,-0.981
3779.201,1.651
3780.072,0.826
3780.942,0.851
3781.812,1.111
3782.684,1.317
3783.554,2.962
3784.427,-0.368
3785.297,0.162
3786.17,-0.098
3787.041,-0.959
3787.912,-0.385
3788.786,0.718
3789.657,1.788
3790.531,1.446
3791.403,1.437
3792.277,0.895
3793.15,-0.462
3794.022,-0.618
3794.897,-0.038
3795.77,-0.202
3796.646,1.311
3797.519,2.165
3798.395,0.955
3799.269,0.719
3800.143,1.622
3801.019,0.314
3801.893,-0.056
3802.77,0.315
3803.645,-0.338
3804.522,-1.286
3805.397,0.483
3806.273,0.559
3807.15,1.889
3808.026,1.75
3808.904,-0.522
3809.781,0.05
3810.659,-0.111
3811.536,-1.904
3812.413,0.096
3813.292,2.407
3814.169,1.846
3815.048,1.828
3815.926,0.946
3816.806,0.865
3817.684,-0.491
3818.562,-1.585
3819.443,-0.669
3820.322,0.392
3821.202,-0.746
3822.082,-0.956
3822.963,-0.076
3823.842,0.445
3824.724,-0.1
3825.604,-0.341
3826.484,1.619
3827.366,0.532
3828.247,0.008
3829.13,0.574
3830.01,0.318
3830.894,-0.725
3831.775,0.05
3832.656,-0.265
3833.54,-0.097
3834.422,1.042
3835.306,1.202
3836.189,-0.979
3837.073,-0.527
3837.956,-0.147
3838.839,-0.826
3839.724,-0.412
3840.608,1.385
3841.493,1.412
3842.377,1.2
3843.263,1.01
3844.147,1.248
3845.031,1.312
3845.918,0.603
3846.803,-0.051
3847.69,1.087
3848.575,0.315
3849.463,-0.867
3850.348,-0.241
3851.234,1.513
3852.122,1.35
3853.008,0.604
3853.897,-0.844
3854.783,-0.359
3855.672,0.991
3856.559,0.751
3857.446,-0.391
3858.336,1.151
3859.223,0.714
3860.114,0.134
3861.001,-0.526
3861.892,-0.388
3862.78,2.832
3863.669,0.955
3864.56,0.845
3865.449,0.706
3866.34,0.167
3867.23,0.506
3868.121,1.191
3869.011,1.008
3869.901,0.243
3870.794,-0.791
3871.684,-0.453
3872.577,0.792
3873.468,-0.296
3874.361,-0.183
3875.252,0.135
3876.144,0.733
3877.038,0.364
3877.93,-0.572
3878.824,0.516
3879.716,-1.195
3880.611,-1.018
3881.504,-0.208
3882.396,-0.101
3883.292,0.53
3884.185,2.869
3885.081,1.082
3885.975,-0.097
3886.871,0.163
3887.765,0.321
3888.659,-0.432
3889.556,-0.63
3890.451,0.866
3891.348,-0.783
3892.243,-1.13
3893.141,0.236
3894.036,0.754
3894.934,0.59
3895.83,0.328
3896.726,1.403
3897.625,0.24
3898.521,-0.163
3899.421,2.38
3900.318,1.485
3901.217,-0.871
3902.115,1.553
3903.012,1.766
3903.912,-0.125
3904.81,0.142
3905.711,1.082
3906.609,1.712
3907.51,0.114
3908.409,-0.559
3909.308,-0.198
3910.21,-0.087
3911.109,1.049
3912.011,2.259
3912.911,0.389
3913.813,0.681
3914.714,0.832
3915.614,-1.772
3916.517,-0.515
3917.418,0.48
3918.322,1.029
3919.223,0.69
3920.127,-0.353
3921.029,-0.971
3921.931,0.031
3922.835,1.584
3923.737,0.038
3924.642,-0.345
3925.545,0.537
3926.45,0.594
3927.354,1.308
3928.257,0.3
3929.163,1.659
3930.067,0.682
3930.973,-0.821
3931.877,0.327
3932.784,-0.769
3933.689,-0.791
3934.594,0.546
3935.501,0.961
3936.406,0.23
3937.314,0.052
3938.22,1.058
3939.128,0.442
3940.034,0.457
3940.941,-0.007
3941.849,-0.102
3942.756,0.841
3943.665,0.013
3944.573,0.232
3945.482,0.615
3946.39,-0.008
3947.298,-0.361
3948.208,0.706
3949.116,1.227
3950.027,1.453
3950.936,0.286
3951.847,0.7
3952.756,1.579
3953.665,0.665
3954.577,0.795
3955.487,1.365
3956.399,0.556
3957.309,0.493
3958.221,1.076
3959.132,0.766
3960.045,0.575
3960.956,1.048
3961.867,0.049
3962.781,0.178
3963.692,0.789
3964.606,0.447
3965.519,1.826
3966.433,-0.07
3967.345,0.937
3968.258,1.513
3969.173,0.844
3970.086,0.897
3971.002,0.175
3971.915,0.853
3972.831,-0.632
3973.745,-0.423
3974.659,0.985
3975.576,0.224
3976.49,-0.218
3977.407,1.246
3978.323,1.248
3979.24,0.566
3980.155,0.506
3981.071,1.027
3981.989,1.093
3982.905,-0.388
3983.823,0.097
3984.74,0.338
3985.659,0.314
3986.576,1.32
3987.493,0.896
3988.412,1.319
3989.33,0.445
3990.25,-0.316
3991.168,0.695
3992.088,1.989
3993.006,0.048
3993.925,1.511
3994.846,1.424
3995.765,1.305
3996.686,1.066
3997.606,-0.466
3998.528,0.218
3999.448,0.501
4000.367,-0.057
4001.29,0.08
4002.21,0.952
4003.133,1.288
4004.054,0.939
4004.978,0.525
4005.899,0.514
4006.821,0.132
4007.745,0.06
4008.667,0.903
4009.591,0.593
4010.513,1.85
4011.438,0.452
4012.361,0.506
4013.284,2.328
4014.209,1.675
4015.133,-0.418
4016.059,1.668
4016.983,0.52
4017.909,0.387
4018.833,1.076
4019.758,-0.951
4020.685,0.284
4021.61,0.399
4022.537,-0.424
4023.462,-0.742
4024.39,0.36
4025.316,1.642
4026.242,0.065
4027.17,0.488
4028.097,0.751
4029.026,1.306
4029.953,1.396
