wavelength,flux
4105.821,0.707
4106.768,2.2
4107.712,1.34
4108.657,3.759
4109.604,0.918
4110.55,3.143
4111.498,3.201
4112.444,0.034
4113.392,2.898
4114.338,5.262
4115.285,2.321
4116.234,3.209
4117.181,3.394
4118.13,2.103
4119.078,3.528
4120.027,2.354
4120.975,1.491
4121.923,1.646
4122.874,1.366
4123.822,2.839
4124.773,1.296
4125.722,-0.22
4126.673,5.337
4127.623,0.834
4128.572,1.406
4129.524,3.906
4130.475,3.096
4131.427,1.391
4132.377,1.91
4133.33,3.867
4134.281,4.391
4135.232,0.945
4136.186,3.402
4137.137,3.962
4138.091,-0.081
4139.043,3.166
4139.998,3.616
4140.95,2.738
4141.903,3.097
4142.858,3.098
4143.811,5.823
4144.767,1.932
4145.72,-2.031
4146.676,0.554
4147.63,2.413
4148.584,0.557
4149.541,2.917
4150.495,4.016
4151.453,3.623
4152.407,4.48
4153.365,2.726
4154.32,2.41
4155.276,1.743
4156.234,1.381
4157.19,1.777
4158.149,2.229
4159.105,1.749
4160.065,1.325
4161.022,2.733
4161.979,2.767
4162.939,1.186
4163.896,2.599
4164.856,1.042
4165.815,2.028
4166.775,4.65
4167.734,1.323
4168.693,-0.216
4169.654,0.735
4170.613,3.153
4171.575,2.182
4172.535,-0.462
4173.497,2.805
4174.457,5.817
4175.417,1.899
4176.38,1.327
4177.341,0.722
4178.304,2.903
4179.265,2.345
4180.229,1.069
4181.191,2.18
4182.155,3.816
4183.117,4.382
4184.08,4.081
4185.044,1.475
4186.007,3.495
4186.972,3.657
4187.936,2.78
4188.901,3.012
4189.865,2.429
4190.829,0.382
4191.795,1.435
4192.759,2.01
4193.726,-0.015
4194.691,2.891
4195.658,1.765
4196.624,6.733
4197.589,1.861
4198.557,2.724
4199.523,1.918
4200.491,1.857
4201.458,2.287
4202.426,2.92
4203.393,3.149
4204.36,2.139
4205.33,2.122
4206.297,0.036
4207.267,2.149
4208.235,0.89
4209.205,1.371
4210.174,4.066
4211.142,4.782
4212.113,2.516
4213.082,1.321
4214.054,2.365
4215.023,2.694
4215.995,1.133
4216.965,0.494
4217.935,5.522
4218.908,2.496
4219.878,1.514
4220.852,2.535
4221.822,0.835
4222.796,2.508
4223.768,4.477
4224.739,3.219
4225.713,4.062
4226.686,2.439
4227.66,1.086
4228.633,2.354
4229.608,3.239
4230.581,3.26
4231.554,1.05
4232.53,2.434
4233.503,4.86
4234.48,3.108
4235.454,1.913
4236.431,4.526
4237.405,1.343
4238.38,0.843
4239.357,4.042
4240.333,0.406
4241.311,2.147
4242.286,2.505
4243.264,1.598
4244.241,4.055
4245.217,4.07
4246.196,1.904
4247.173,4.92
4248.152,4.245
4249.129,2.95
4250.109,2.78
4251.087,1.523
4252.065,1.184
4253.045,4.27
4254.024,2.868
4255.005,1.877
4255.983,3.812
4256.965,5.271
4257.944,4.201
4258.926,0.825
4259.906,3.619
4260.886,2.917
4261.869,3.245
4262.849,-0.365
4263.832,1.584
4264.813,1.158
4265.796,2.251
4266.778,4.164
4267.759,4.43
4268.743,3.948
4269.726,1.729
4270.71,3.879
4271.692,-0.156
4272.677,2.078
4273.661,3.014
4274.644,2.168
4275.629,2.828
4276.613,3.338
4277.599,1.413
4278.583,1.273
4279.57,3.667
4280.554,2.556
4281.539,1.394
4282.526,1.752
4283.512,1.314
4284.499,3.444
4285.485,2.713
4286.473,1.413
4287.459,1.319
4288.445,3.089
4289.435,2.783
4290.421,1.156
4291.411,3.198
4292.398,4.674
4293.388,4.66
4294.375,4.515
4295.363,2.447
4296.354,1.696
4297.342,0.502
4298.333,0.101
4299.322,2.549
4300.313,2.792
4301.303,3.066
