wavelength,flux
3794.897,8.841
3795.77,12.994
3796.646,10.384
3797.519,11.371
3798.395,14.573
3799.269,14.776
3800.143,7.119
3801.019,8.5
3801.893,12.57
3802.77,14.309
3803.645,11.607
3804.522,6.943
3805.397,7.712
3806.273,7.694
3807.15,8.898
3808.026,10.339
3808.904,11.223
3809.781,10.9
3810.659,11.827
3811.536,12.26
3812.413,11.489
3813.292,13.154
3814.169,14.268
3815.048,19.103
3815.926,12.426
3816.806,6.476
3817.684,12.946
3818.562,8.935
3819.443,7.189
3820.322,14.424
3821.202,11.484
3822.082,15.554
3822.963,19.197
3823.842,14.473
3824.724,7.345
3825.604,10.004
3826.484,15.132
3827.366,14.784
3828.247,12.326
3829.13,10.3
3830.01,6.112
3830.894,11.038
3831.775,8.02
3832.656,9.266
3833.54,15.237
3834.422,14.873
3835.306,9.428
3836.189,11.087
3837.073,16.641
3837.956,9.744
3838.839,5.491
3839.724,8.63
3840.608,13.354
3841.493,8.91
3842.377,13.824
3843.263,17.831
3844.147,12.417
3845.031,9.754
3845.918,12.269
3846.803,9.936
3847.69,16.27
3848.575,12.304
3849.463,11.488
3850.348,9.765
3851.234,9.981
3852.122,9.545
3853.008,9.169
3853.897,14.692
3854.783,14.488
3855.672,6.441
3856.559,11.312
3857.446,13.1
3858.336,8.786
3859.223,11.104
3860.114,11.628
3861.001,9.409
3861.892,14.124
3862.78,14.502
3863.669,9.8
3864.56,13.276
3865.449,13.674
3866.34,8.434
3867.23,9.916
3868.121,13.583
3869.011,12.3
3869.901,11.526
3870.794,14.581
3871.684,13.725
3872.577,15.142
3873.468,12.747
3874.361,11.466
3875.252,17.204
3876.144,9.589
3877.038,6.028
3877.93,15.502
3878.824,14.72
3879.716,15.677
3880.611,13.582
3881.504,14.722
3882.396,13.622
3883.292,12.115
3884.185,12.44
3885.081,13.594
3885.975,12.949
3886.871,11.157
3887.765,11.632
3888.659,10.345
3889.556,12.325
3890.451,15.678
3891.348,8.593
3892.243,9.167
3893.141,12.065
3894.036,12.024
3894.934,13.867
3895.83,13.839
3896.726,11.074
3897.625,14.869
3898.521,9.704
3899.421,10.619
3900.318,14.549
3901.217,12.998
3902.115,9.685
3903.012,11.025
3903.912,13.437
3904.81,11.604
3905.711,6.981
3906.609,11.063
3907.51,14.791
3908.409,12.055
3909.308,10.877
3910.21,11.335
3911.109,11.103
3912.011,11.743
3912.911,12.018
3913.813,10.801
3914.714,10.501
3915.614,9.243
3916.517,13.543
3917.418,9.223
3918.322,7.435
3919.223,11.004
3920.127,12.994
3921.029,13.901
3921.931,12.429
3922.835,13.207
3923.737,12.844
3924.642,13.704
3925.545,13.077
3926.45,14.326
3927.354,14.288
3928.257,11.061
3929.163,7.171
3930.067,6.242
3930.973,14.53
3931.877,10.537
3932.784,12.687
3933.689,13.519
3934.594,11.648
3935.501,12.452
3936.406,11.714
3937.314,8.816
3938.22,11.616
3939.128,11.018
3940.034,13.611
3940.941,13.279
3941.849,13.319
3942.756,11.36
3943.665,8.697
3944.573,7.014
3945.482,8.856
3946.39,13.277
3947.298,12.359
3948.208,8.645
3949.116,9.425
3950.027,13.421
3950.936,15.649
3951.847,14.466
3952.756,11.436
3953.665,10.458
3954.577,11.119
3955.487,11.655
3956.399,15.591
3957.309,9.794
3958.221,12.169
3959.132,16.318
3960.045,12.92
3960.956,8.723
3961.867,10.048
3962.781,10.212
3963.692,7.806
3964.606,13.106
3965.519,11.97
3966.433,11.017
3967.345,12.864
3968.258,11.224
3969.173,9.479
3970.086,11.371
3971.002,12.643
3971.915,9.913
3972.831,7.385
3973.745,8.134
3974.659,10.462
3975.576,14.671
3976.49,14.529
3977.407,11.677
3978.323,9.434
3979.24,10.127
3980.155,11.17
3981.071,12.069
3981.989,14.221
3982.905,12.415
3983.823,11.277
3984.74,10.173
3985.659,10.033
3986.576,10.834
3987.493,12.612
3988.412,12.113
3989.33,10.229
3990.25,10.711
3991.168,11.944
3992.088,12.075
3993.006,12.9
3993.925,7.3
3994.846,13.294
3995.765,14.847
3996.686,11.299
3997.606,9.804
3998.528,9.825
3999.448,9.392
4000.367,11.199
4001.29,11.083
4002.21,8.017
4003.133,10.158
4004.054,11.742
4004.978,11.875
4005.899,11.056
4006.821,9.652
4007.745,7.416
4008.667,7.006
4009.591,12.007
4010.513,10.346
4011.438,9.79
4012.361,11.37
4013.284,11.95
4014.209,8.598
4015.133,9.341
4016.059,12.122
4016.983,11.59
4017.909,12.748
4018.833,10.808
4019.758,9.817
4020.685,12.146
4021.61,10.365
4022.537,11.462
4023.462,13.44
4024.39,11.604
4025.316,10.59
4026.242,13.162
4027.17,12.213
4028.097,8.779
4029.026,8.343
4029.953,13.722
4030.882,10.691
4031.809,9.116
4032.739,10.097
4033.667,9.928
4034.595,9.333
4035.525,9.071
4036.453,8.812
4037.384,12.846
4038.313,9.435
4039.244,10.943
4040.174,7.003
4041.103,7.308
4042.035,11.443
4042.965,12.457
4043.897,11.705
4044.827,12.384
4045.76,10.963
4046.691,13.884
4047.622,12.107
4048.555,11.003
4049.486,9.298
4050.42,9.314
4051.352,11.037
4052.286,13.399
4053.219,12.541
4054.151,8.698
4055.086,10.512
4056.019,12.639
4056.954,11.417
4057.887,9.862
4058.823,12.842
4059.757,9.213
4060.691,10.047
4061.627,10.961
4062.561,9.65
4063.498,12.295
4064.433,9.59
4065.37,11.231
4066.305,9.356
4067.241,11.942
4068.179,9.51
4069.115,9.671
4070.053,11.509
4070.989,13.021
4071.928,12.356
4072.865,9.584
4073.802,10.296
4074.741,9.475
4075.679,8.803
4076.618,14.532
4077.556,12.991
4078.497,8.559
4079.435,10.426
4080.373,12.209
4081.314,10.592
4082.253,10.957
4083.194,11.098
4084.134,12.739
4085.076,10.213
4086.015,10.678
4086.955,11.515
4087.898,11.467
4088.838,10.927
4089.781,9.834
4090.722,8.77
4091.665,8.762
4092.606,9.286
4093.548,9.678
4094.492,10.123
4095.434,11.243
4096.378,13.372
4097.321,11.585
4098.266,10.124
4099.208,9.547
4100.151,8.72
4101.097,9.311
4102.04,10.484
4102.986,9.224
4103.93,10.303
4104.876,10.785
4105.821,5.813
4106.768,9.516
4107.712,12.326
4108.657,10.09
4109.604,8.137
4110.55,9.608
4111.498,10.96
4112.444,8.437
4113.392,10.491
4114.338,11.67
4115.285,9.691
4116.234,10.209
4117.181,8.794
4118.13,8.955
4119.078,9.818
4120.027,9.844
4120.975,11.617
4121.923,11.399
4122.874,13.494
4123.822,11.126
4124.773,11.133
4125.722,9.254
4126.673,8.278
4127.623,10.186
4128.572,11.13
4129.524,10.549
4130.475,11.46
4131.427,12.11
4132.377,12.982
4133.33,9.338
4134.281,8.626
4135.232,10.364
4136.186,8.312
4137.137,8.278
4138.091,9.884
4139.043,10.668
4139.998,11.458
4140.95,12.602
4141.903,13.711
4142.858,10.427
4143.811,10.955
4144.767,10.654
4145.72,11.303
4146.676,10.152
4147.63,10.607
4148.584,12.333
4149.541,10.931
4150.495,9.039
4151.453,10.966
4152.407,9.13
4153.365,10.7
4154.32,11.649
4155.276,9.523
4156.234,9.931
4157.19,11.294
4158.149,11.197
4159.105,10.279
4160.065,9.786
4161.022,10.324
4161.979,11.53
4162.939,8.906
4163.896,8.973
4164.856,10.969
4165.815,10.845
4166.775,8.343
4167.734,8.246
4168.693,9.609
4169.654,8.378
4170.613,7.593
4171.575,10.603
4172.535,10.205
4173.497,10.154
4174.457,11.433
4175.417,11.724
4176.38,11.167
4177.341,11.106
4178.304,10.002
4179.265,9.302
4180.229,9.795
4181.191,9.596
4182.155,11.464
4183.117,9.035
4184.08,11.168
4185.044,11.314
4186.007,8.844
4186.972,10.507
4187.936,9.428
4188.901,9.838
4189.865,12.394
4190.829,9.996
4191.795,8.702
4192.759,11.19
4193.726,10.58
4194.691,10.952
4195.658,11.424
4196.624,11.464
4197.589,11.74
